experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aegislab,96,96,96,0.77727233,0.32973249,0.85267397,1,0.87396171,0.12603829,,,,1,1,,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aiops2022,100,100,100,0.78548128,0.31809339,0.84901727,1,0.88324203,0.11675797,,,,1,1,,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,aiops2025,93,93,93,0.77925455,0.33828643,0.82128041,1,0.86923505,0.13076495,,,,1,1,,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,re2_ob,90,90,90,0.77255409,0.34001176,0.80141518,1,0.88092417,0.11907583,,,,1,1,,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,re2_tt,90,90,90,0.76912284,0.34875228,0.79481454,1,0.86666426,0.13333574,,,,1,1,,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aegislab,96,96,96,0.78838759,0.37028205,0.77096382,1,0.58977,0.080827406,,0.3294026,,1,1,,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aiops2022,100,100,100,0.79453818,0.35957752,0.79144516,1,0.60060568,0.078738213,,0.32065611,,1,1,,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,aiops2025,93,93,93,0.78850344,0.35636194,0.79883558,1,0.60719852,0.08293163,,0.30986985,,1,1,,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,re2_ob,90,90,90,0.77909938,0.36134112,0.76241296,1,0.59993086,0.079160858,,0.32090828,,1,1,,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,re2_tt,90,90,90,0.78665859,0.37950003,0.73880979,1,0.58471879,0.08899164,,0.32628957,,1,1,,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aegislab,96,96,96,0.78370865,0.35146364,0.81306961,1,0.7998576,0.1166594,0.083483003,,,1,1,1,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aiops2022,100,100,100,0.79014027,0.34102321,0.81698327,1,0.80737592,0.10705928,0.085564801,,,1,1,1,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,aiops2025,93,93,93,0.7820538,0.35670524,0.79250123,1,0.80171937,0.11094508,0.087335552,,,1,1,1,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,re2_ob,90,90,90,0.77766557,0.36463369,0.76828306,1,0.79220639,0.10614086,0.10165276,,,1,1,1,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,re2_tt,90,90,90,0.77166704,0.36896972,0.77291132,1,0.79599999,0.12033077,0.083669237,,,1,1,1,,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aegislab,96,96,96,0.79076745,0.38880175,0.74140645,1,0.54905227,0.072639144,0.055449232,0.32285936,,1,1,1,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aiops2022,100,100,100,0.79556088,0.37681431,0.76264187,1,0.56345613,0.06899115,0.058219541,0.30933317,,1,1,1,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,aiops2025,93,93,93,0.78970209,0.37323141,0.77427125,1,0.55827963,0.079850142,0.062215621,0.2996546,,1,1,1,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,re2_ob,90,90,90,0.78354501,0.38226617,0.72943705,1,0.5559689,0.077799261,0.070995806,0.29523603,,1,1,1,1,,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,re2_tt,90,90,90,0.78358444,0.39086328,0.73268853,1,0.55108167,0.082411538,0.058044899,0.30846189,,1,1,1,1,,1
cross_region,qwen3.6-27b,P,aegislab,96,96,96,0.8023545,0.11329791,0.94788902,,,,,,1,,,,,1,1
cross_region,qwen3.6-27b,P,aiops2022,100,100,100,0.79388143,0.12879587,0.93832289,,,,,,1,,,,,1,1
cross_region,qwen3.6-27b,P,aiops2025,93,93,93,0.79948397,0.12957455,0.94168228,,,,,,1,,,,,1,1
cross_region,qwen3.6-27b,P,re2_ob,90,90,90,0.77544502,0.12199017,0.94700744,,,,,,1,,,,,1,1
cross_region,qwen3.6-27b,P,re2_tt,90,90,90,0.77518365,0.12165227,0.94477176,,,,,,1,,,,,1,1
cross_region,qwen3.6-27b,V,aegislab,96,96,96,0.8602276,0.099311445,0.93950321,1,0.64012151,0.038872689,0.041687184,0.27931861,,0.99456993,0.83681873,0.88932659,1.0682986,,1
cross_region,qwen3.6-27b,V,aiops2022,100,100,100,0.86290237,0.10950282,0.93153846,1,0.62856234,0.038349285,0.042791317,0.29029706,,0.95851398,0.81811808,0.91288142,1.1591815,,1
cross_region,qwen3.6-27b,V,aiops2025,93,93,93,0.85667061,0.097055121,0.93548387,1,0.61281727,0.044871665,0.039678685,0.30263238,,0.93456327,0.95726218,0.84647861,1.2084189,,1
cross_region,qwen3.6-27b,V,re2_ob,90,90,90,0.84643697,0.10925501,0.9525641,1,0.63853238,0.030924759,0.043200102,0.28734276,,0.97300172,0.65972819,0.92160218,1.149371,,1
cross_region,qwen3.6-27b,V,re2_tt,90,90,90,0.84948915,0.10788418,0.94529915,1,0.61741395,0.040047754,0.040871893,0.3016664,,0.96062702,0.87252955,0.87193373,1.1486881,,1
cross_region,qwen3.8-27b,H,aegislab,96,96,96,0.85847396,0.093386988,0.9599359,1,0.6517655,0.032063786,0.031325244,0.28484547,,1.0244822,0.69462731,0.66827188,1.0653335,,1
cross_region,qwen3.8-27b,H,aiops2022,100,100,100,0.85880808,0.089502882,0.95923077,1,0.67538453,0.029114926,0.025854058,0.26964649,,1.0329225,0.62111843,0.55155325,1.0693805,,1
cross_region,qwen3.8-27b,H,aiops2025,93,93,93,0.86194366,0.095619954,0.95905707,1,0.66098217,0.028803005,0.025576917,0.28463791,,1.0072109,0.6144641,0.5456409,1.1385516,,1
cross_region,qwen3.8-27b,H,re2_ob,90,90,90,0.86554707,0.08481643,0.96111111,1,0.67064608,0.028710088,0.024318321,0.27632551,,1.0219369,0.61248188,0.51879085,1.105302,,1
cross_region,qwen3.8-27b,H,re2_tt,90,90,90,0.86546234,0.084250535,0.95982906,1,0.65318732,0.035973046,0.0291704,0.28166923,,1.0098789,0.77720847,0.62368428,1.0913964,,1
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,aegislab,96,96,96,0.81420199,0.43675896,0.66311278,1,,,,1,,,,,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,aiops2022,100,100,100,0.81875547,0.4402338,0.66483902,1,,,,1,,,,,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,aiops2025,93,93,93,0.82600771,0.4505253,0.65393175,1,,,,1,,,,,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,re2_ob,90,90,90,0.82802174,0.41597666,0.66030287,1,,,,1,,,,,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,re2_tt,90,90,90,0.82978894,0.42438627,0.682964,1,,,,1,,,,,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gt,aegislab,96,96,96,0.8265527,0.5324107,0.51402244,1,,,1,,,,,1,,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gt,aiops2022,100,100,100,0.82440371,0.52862533,0.53653846,1,,,1,,,,,1,,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gt,aiops2025,93,93,93,0.83397385,0.53822059,0.52026468,1,,,1,,,,,1,,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gt,re2_ob,90,90,90,0.83532725,0.53739421,0.5482906,1,,,1,,,,,1,,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gt,re2_tt,90,90,90,0.85865401,0.63586193,0.41538462,1,,,1,,,,,1,,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gv,aegislab,96,96,96,0.81789192,0.40775791,0.67812365,1,,,0.29738211,0.70261789,,,,1,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gv,aiops2022,100,100,100,0.8265152,0.41814489,0.67315024,1,,,0.31296401,0.68703599,,,,1,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gv,aiops2025,93,93,93,0.83376472,0.42993111,0.66682579,1,,,0.33201672,0.66798328,,,,1,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gv,re2_ob,90,90,90,0.82986437,0.40694922,0.6810494,1,,,0.32248674,0.67751326,,,,1,1,,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gv,re2_tt,90,90,90,0.84163203,0.44908065,0.6396375,1,,,0.33407094,0.66592906,,,,1,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gt,aegislab,96,96,96,0.81172461,0.58578305,0.46113782,1,,1,,,,,1,,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gt,aiops2022,100,100,100,0.79108618,0.56130653,0.45,1,,1,,,,,1,,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gt,aiops2025,93,93,93,0.80114504,0.62549479,0.34449959,1,,1,,,,,1,,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gt,re2_ob,90,90,90,0.81187141,0.63890912,0.32649573,1,,1,,,,,1,,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gt,re2_tt,90,90,90,0.81804651,0.59283247,0.45897436,1,,1,,,,,1,,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gv,aegislab,96,96,96,0.81308462,0.43359518,0.65426214,1,,0.33996507,,0.66003493,,,1,,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gv,aiops2022,100,100,100,0.81580358,0.42853488,0.64935962,1,,0.33563907,,0.66436093,,,1,,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gv,aiops2025,93,93,93,0.82333112,0.46004473,0.60643154,1,,0.33344606,,0.66655394,,,1,,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gv,re2_ob,90,90,90,0.82381904,0.43772433,0.61956802,1,,0.31200204,,0.68799796,,,1,,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gv,re2_tt,90,90,90,0.82444701,0.44203201,0.65052087,1,,0.36473271,,0.63526729,,,1,,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gt,aegislab,96,96,96,0.81428238,0.56295704,0.48555659,1,,0.69194317,0.30805683,,,,1,1,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gt,aiops2022,100,100,100,0.80625942,0.5500188,0.48370616,1,,0.67345922,0.32654078,,,,1,1,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gt,aiops2025,93,93,93,0.80888773,0.59139337,0.42147539,1,,0.65528264,0.34471736,,,,1,1,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gt,re2_ob,90,90,90,0.82145359,0.59523085,0.42546235,1,,0.63892686,0.36107314,,,,1,1,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gt,re2_tt,90,90,90,0.82322298,0.59993061,0.45772284,1,,0.67852939,0.32147061,,,,1,1,,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gv,aegislab,96,96,96,0.80773866,0.43994715,0.63712685,1,,0.3153545,0.13420284,0.55044266,,,1,1,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gv,aiops2022,100,100,100,0.81169848,0.43958022,0.63912471,1,,0.30783326,0.15071238,0.54145436,,,1,1,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gv,aiops2025,93,93,93,0.82059393,0.4682966,0.60033254,1,,0.30790221,0.15683239,0.5352654,,,1,1,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gv,re2_ob,90,90,90,0.81868563,0.44741319,0.61896492,1,,0.28824808,0.15512086,0.55663106,,,1,1,1,,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gv,re2_tt,90,90,90,0.820832,0.46610225,0.61978269,1,,0.33814813,0.14821711,0.51363476,,,1,1,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gt,aegislab,96,96,96,0.80791703,0.24602362,0.93149038,1,1,,,,,1,,,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gt,aiops2022,100,100,100,0.81495526,0.24506909,0.93153846,1,1,,,,,1,,,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gt,aiops2025,93,93,93,0.8195239,0.24297089,0.92142266,1,1,,,,,1,,,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gt,re2_ob,90,90,90,0.8209098,0.23874438,0.91880342,1,1,,,,,1,,,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gt,re2_tt,90,90,90,0.81703971,0.24731061,0.91880342,1,1,,,,,1,,,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gv,aegislab,96,96,96,0.81212107,0.27665164,0.87611508,1,0.69355938,,,0.30644062,,1,,,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gv,aiops2022,100,100,100,0.81504424,0.27672552,0.87688088,1,0.70756459,,,0.29243541,,1,,,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gv,aiops2025,93,93,93,0.81944243,0.2778867,0.86479789,1,0.71184662,,,0.28815338,,1,,,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gv,re2_ob,90,90,90,0.81847523,0.2613108,0.8646103,1,0.70839069,,,0.29160931,,1,,,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gv,re2_tt,90,90,90,0.81203359,0.28023862,0.86189788,1,0.70510534,,,0.29489466,,1,,,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gt,aegislab,96,96,96,0.80427465,0.27168259,0.88732937,1,0.90299783,,0.097002166,,,1,,1,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gt,aiops2022,100,100,100,0.81087714,0.26761141,0.89663695,1,0.90493692,,0.095063082,,,1,,1,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gt,aiops2025,93,93,93,0.8150151,0.26834333,0.88423985,1,0.90196503,,0.098034966,,,1,,1,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gt,re2_ob,90,90,90,0.8156332,0.2583765,0.88340487,1,0.89691653,,0.10308347,,,1,,1,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gt,re2_tt,90,90,90,0.81437829,0.27763876,0.87556126,1,0.90564655,,0.09435345,,,1,,1,,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gv,aegislab,96,96,96,0.80012963,0.2928753,0.84928032,1,0.657516,,0.068089723,0.27439428,,1,,1,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gv,aiops2022,100,100,100,0.80783941,0.2982343,0.8541568,1,0.66610402,,0.065475804,0.26842018,,1,,1,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gv,aiops2025,93,93,93,0.81482501,0.28908767,0.85697907,1,0.66552978,,0.070448569,0.26402165,,1,,1,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gv,re2_ob,90,90,90,0.80834521,0.27590549,0.85191861,1,0.63940074,,0.074933042,0.28566622,,1,,1,1,,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gv,re2_tt,90,90,90,0.81150755,0.29217122,0.84712797,1,0.67322824,,0.064309201,0.26246256,,1,,1,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gt,aegislab,96,96,96,0.80669275,0.28501119,0.87540574,1,0.89279071,0.10720929,,,,1,1,,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gt,aiops2022,100,100,100,0.81028477,0.27691601,0.88007251,1,0.9025211,0.097478898,,,,1,1,,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gt,aiops2025,93,93,93,0.81689265,0.28238293,0.8540811,1,0.89672451,0.10327549,,,,1,1,,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gt,re2_ob,90,90,90,0.81757891,0.27410446,0.85665181,1,0.90224197,0.097758034,,,,1,1,,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gt,re2_tt,90,90,90,0.81320196,0.2882029,0.86280381,1,0.88085594,0.11914406,,,,1,1,,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gv,aegislab,96,96,96,0.80270452,0.2963902,0.8502826,1,0.63310403,0.074844211,,0.29205176,,1,1,,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gv,aiops2022,100,100,100,0.81247252,0.2937955,0.85281493,1,0.65679153,0.075608186,,0.26760029,,1,1,,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gv,aiops2025,93,93,93,0.81798517,0.29915869,0.83075048,1,0.66193436,0.074961778,,0.26310387,,1,1,,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gv,re2_ob,90,90,90,0.8150742,0.28508858,0.83784673,1,0.63453057,0.06758748,,0.29788195,,1,1,,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gv,re2_tt,90,90,90,0.81365136,0.30253705,0.82854066,1,0.62918137,0.092727257,,0.27809137,,1,1,,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gt,aegislab,96,96,96,0.80295699,0.30433643,0.83760332,1,0.82314931,0.10027365,0.076577038,,,1,1,1,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gt,aiops2022,100,100,100,0.81019572,0.29795904,0.85201712,1,0.83058199,0.091934263,0.077483747,,,1,1,1,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gt,aiops2025,93,93,93,0.81207032,0.30179664,0.82955019,1,0.82540683,0.093169428,0.081423739,,,1,1,1,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gt,re2_ob,90,90,90,0.81510345,0.29383819,0.83281176,1,0.8323114,0.088304882,0.079383715,,,1,1,1,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gt,re2_tt,90,90,90,0.80998914,0.3122393,0.83285879,1,0.81193487,0.10992473,0.078140402,,,1,1,1,,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gv,aegislab,96,96,96,0.80169824,0.30426312,0.82401156,1,0.60724084,0.066568878,0.05095556,0.27523472,,1,1,1,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gv,aiops2022,100,100,100,0.80922336,0.30417677,0.82987132,1,0.61610041,0.060894791,0.05541292,0.26759187,,1,1,1,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gv,aiops2025,93,93,93,0.81766337,0.30427962,0.8195975,1,0.62427325,0.062364777,0.055097988,0.25826398,,1,1,1,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gv,re2_ob,90,90,90,0.80816431,0.28942931,0.82024317,1,0.60696461,0.060465434,0.054399323,0.27817063,,1,1,1,1,,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gv,re2_tt,90,90,90,0.80954251,0.30840187,0.81410724,1,0.60945389,0.076562241,0.051690727,0.26229314,,1,1,1,1,,1
cross_region,qwen3.8-27b,P,aegislab,96,96,96,0.758246,0.096970964,0.95953459,,,,,,1,,,,,1,1
cross_region,qwen3.8-27b,P,aiops2022,100,100,100,0.76859184,0.10417507,0.96434034,,,,,,1,,,,,1,1
cross_region,qwen3.8-27b,P,aiops2025,93,93,93,0.77461287,0.10314721,0.95948176,,,,,,1,,,,,1,1
cross_region,qwen3.8-27b,P,re2_ob,90,90,90,0.75563057,0.098932062,0.96108919,,,,,,1,,,,,1,1
cross_region,qwen3.8-27b,P,re2_tt,90,90,90,0.75400895,0.10339335,0.95962692,,,,,,1,,,,,1,1
cross_region,qwen3.8-27b,V,aegislab,96,96,96,0.85835407,0.086950739,0.9599359,1,0.6829258,0.02612229,0.025539408,0.2654125,,1.0736036,0.56547493,0.5448407,0.99324693,,1
cross_region,qwen3.8-27b,V,aiops2022,100,100,100,0.86532487,0.085340817,0.96115385,1,0.69112155,0.026031435,0.024118377,0.25872864,,1.0571093,0.55533729,0.51452538,1.0265125,,1
cross_region,qwen3.8-27b,V,aiops2025,93,93,93,0.86867654,0.091696508,0.96071133,1,0.68214393,0.024912969,0.022492452,0.27045065,,1.0394574,0.53147668,0.47983897,1.0818026,,1
cross_region,qwen3.8-27b,V,re2_ob,90,90,90,0.86075825,0.078003555,0.96153846,1,0.69600574,0.023183824,0.020985238,0.2598252,,1.0605802,0.49458825,0.44768508,1.0393008,,1
cross_region,qwen3.8-27b,V,re2_tt,90,90,90,0.86147728,0.078285303,0.95982906,1,0.68372701,0.028847958,0.022981478,0.26444356,,1.0572473,0.62291364,0.491803,1.0246174,,1
direct_rca,gemma-4-26b-a4b,H,aegislab,96,96,96,0.86861607,0.11849003,0.87860577,,0.62191227,0.023319503,0.042322888,0.31244534,,0.9774078,0.50600541,0.90288827,1.16966,,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,100,100,100,0.86544827,0.12582132,0.85769231,,0.61185406,0.025808751,0.043316215,0.31902097,,0.93580406,0.55058669,0.92407926,1.2655825,,1
direct_rca,gemma-4-26b-a4b,H,aiops2025,93,93,93,0.86345088,0.12722968,0.87014061,,0.61430661,0.02441057,0.038053366,0.32322946,,0.93608626,0.52075883,0.81180514,1.2929178,,1
direct_rca,gemma-4-26b-a4b,H,re2_ob,90,90,90,0.8613857,0.1003287,0.90042735,,0.60508945,0.027816343,0.041317294,0.32577692,,0.92204106,0.59341531,0.8814356,1.3031077,,1
direct_rca,gemma-4-26b-a4b,H,re2_tt,90,90,90,0.86434561,0.12806831,0.87948718,,0.61620682,0.023433652,0.040765683,0.31959385,,0.95303928,0.5056884,0.87284361,1.2404836,,1
direct_rca,gemma-4-26b-a4b,P,aegislab,96,96,96,0.79570257,0.23859597,0.76220527,,,,,,1,,,,,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,100,100,100,0.79453362,0.26188392,0.72916971,,,,,,1,,,,,1,1
direct_rca,gemma-4-26b-a4b,P,aiops2025,93,93,93,0.79793721,0.26535752,0.73114452,,,,,,1,,,,,1,1
direct_rca,gemma-4-26b-a4b,P,re2_ob,90,90,90,0.80261626,0.23247987,0.75549142,,,,,,1,,,,,1,1
direct_rca,gemma-4-26b-a4b,P,re2_tt,90,90,90,0.79292036,0.23124147,0.76794171,,,,,,1,,,,,1,1
direct_rca,gemma-4-26b-a4b,R,aegislab,96,96,96,0.87274014,0.16282431,0.84895833,,0.60144247,0.034289665,0.0579436,0.30632426,,0.94499421,0.74885306,1.2361301,1.1467619,,1
direct_rca,gemma-4-26b-a4b,R,aiops2022,100,100,100,0.86998893,0.16659705,0.84730769,,0.59988367,0.035987161,0.054188012,0.30994116,,0.91748089,0.7677261,1.1560109,1.2300357,,1
direct_rca,gemma-4-26b-a4b,R,aiops2025,93,93,93,0.8678967,0.16513138,0.84243176,,0.58820517,0.036116138,0.052761334,0.32291736,,0.89631264,0.77047761,1.1255751,1.2916694,,1
direct_rca,gemma-4-26b-a4b,R,re2_ob,90,90,90,0.86781292,0.12866684,0.89316239,,0.60171191,0.038426486,0.053083921,0.30677768,,0.91689434,0.81976504,1.132457,1.2271107,,1
direct_rca,gemma-4-26b-a4b,R,re2_tt,90,90,90,0.87066216,0.16166387,0.8517094,,0.60480989,0.032028125,0.054817092,0.30834489,,0.93522665,0.70057004,1.1790923,1.1965144,,1
direct_rca,gemma-4-26b-a4b,V,aegislab,96,96,96,0.87787444,0.12052574,0.87620192,,0.62432403,0.023500206,0.042763208,0.30941256,,0.98113754,0.509923,0.91228178,1.1578891,,1
direct_rca,gemma-4-26b-a4b,V,aiops2022,100,100,100,0.87091774,0.12572276,0.85692308,,0.60905103,0.025589546,0.044010407,0.32134902,,0.93152736,0.54591032,0.93888868,1.2748515,,1
direct_rca,gemma-4-26b-a4b,V,aiops2025,93,93,93,0.8688472,0.12809903,0.86848635,,0.60780394,0.024923582,0.038876641,0.32839583,,0.92617744,0.53170309,0.82936834,1.3135833,,1
direct_rca,gemma-4-26b-a4b,V,re2_ob,90,90,90,0.8703525,0.099767076,0.90213675,,0.60102755,0.027433283,0.040215965,0.3313232,,0.9158515,0.58524336,0.85794059,1.3252928,,1
direct_rca,gemma-4-26b-a4b,V,re2_tt,90,90,90,0.87624866,0.128825,0.88034188,,0.61794122,0.023856947,0.04081989,0.31738195,,0.95549101,0.51489821,0.87434272,1.2311572,,1
direct_rca,qwen3.6-27b,H,aegislab,96,96,96,0.8392386,0.10876034,0.94951923,,0.61472152,0.039753543,0.044139935,0.301385,,0.9659101,0.85993288,0.94165194,1.1257932,,1
direct_rca,qwen3.6-27b,H,aiops2022,100,100,100,0.84021091,0.11130943,0.94538462,,0.62590058,0.036311203,0.042726163,0.29506205,,0.95727301,0.77463899,0.91149149,1.1705945,,1
direct_rca,qwen3.6-27b,H,aiops2025,93,93,93,0.83494255,0.10902417,0.9445823,,0.61930559,0.038646486,0.03916303,0.30288489,,0.94370376,0.82445837,0.83547797,1.2115396,,1
direct_rca,qwen3.6-27b,H,re2_ob,90,90,90,0.83651523,0.099503296,0.9542735,,0.63213119,0.032599003,0.043623815,0.29164599,,0.96324753,0.69544539,0.93064139,1.166584,,1
direct_rca,qwen3.6-27b,H,re2_tt,90,90,90,0.83448471,0.11299638,0.9474359,,0.61751489,0.040030471,0.037952316,0.30450233,,0.95459177,0.86427708,0.81259586,1.1789469,,1
direct_rca,qwen3.6-27b,P,aegislab,96,96,96,0.78487399,0.11552267,0.95386197,,,,,,1,,,,,1,1
direct_rca,qwen3.6-27b,P,aiops2022,100,100,100,0.78410931,0.12588022,0.93629764,,,,,,1,,,,,1,1
direct_rca,qwen3.6-27b,P,aiops2025,93,93,93,0.79387006,0.12666492,0.94037982,,,,,,1,,,,,1,1
direct_rca,qwen3.6-27b,P,re2_ob,90,90,90,0.77752319,0.12400992,0.94424071,,,,,,1,,,,,1,1
direct_rca,qwen3.6-27b,P,re2_tt,90,90,90,0.77780426,0.11461761,0.94835199,,,,,,1,,,,,1,1
direct_rca,qwen3.6-27b,R,aegislab,96,96,96,0.83220263,0.16284622,0.9375,,0.55773603,0.047394576,0.07583518,0.31903422,,0.87617844,1.0267792,1.6178172,1.195501,,1
direct_rca,qwen3.6-27b,R,aiops2022,100,100,100,0.83820116,0.17231479,0.91576923,,0.56333797,0.041507234,0.06834511,0.32680969,,0.86162932,0.88548765,1.458029,1.2974693,,1
direct_rca,qwen3.6-27b,R,aiops2025,93,93,93,0.83378789,0.16052954,0.92845327,,0.56025387,0.045672661,0.065042679,0.32903079,,0.85372018,0.97435009,1.3875771,1.3161232,,1
direct_rca,qwen3.6-27b,R,re2_ob,90,90,90,0.83930394,0.1480849,0.91752137,,0.56078546,0.042537572,0.075153407,0.32152356,,0.85453023,0.90746821,1.6032727,1.2860942,,1
direct_rca,qwen3.6-27b,R,re2_tt,90,90,90,0.83713224,0.15830272,0.92905983,,0.56309693,0.043933983,0.067460519,0.32550857,,0.8699589,0.95213936,1.4428958,1.2600228,,1
direct_rca,qwen3.6-27b,V,aegislab,96,96,96,0.84577757,0.11023577,0.93990385,,0.63680299,0.034130112,0.039670679,0.28939622,,1.0005408,0.73847543,0.84630782,1.0807831,,1
direct_rca,qwen3.6-27b,V,aiops2022,100,100,100,0.85213912,0.11169827,0.93653846,,0.62658269,0.036867152,0.04100248,0.29554768,,0.95827646,0.78649924,0.87471957,1.1721285,,1
