experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aegislab,96,96,96,0.84668517,0.54730025,0.56211667,1,,0.3456395,0.13396543,0.52039507,,,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2022,100,100,100,0.84454454,0.54361255,0.57500872,1,,0.35416553,0.13133212,0.51450235,,,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2025,93,93,93,0.84570052,0.55343635,0.55423006,1,,0.35929277,0.1357367,0.50497053,,,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_ob,90,90,90,0.83918103,0.55312707,0.56924542,1,,0.35334539,0.14239306,0.50426154,,,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_tt,90,90,90,0.84008938,0.56702071,0.54137367,1,,0.37188778,0.1127653,0.51534692,,,1,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aegislab,96,96,96,0.82213047,0.41673796,0.66746795,1,1,,,,,1,,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2022,100,100,100,0.8241695,0.3924976,0.68076923,1,1,,,,,1,,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2025,93,93,93,0.82779987,0.39692455,0.67038875,1,1,,,,,1,,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_ob,90,90,90,0.82557985,0.40857954,0.67735043,1,1,,,,,1,,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_tt,90,90,90,0.82419373,0.4048088,0.68247863,1,1,,,,,1,,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aegislab,96,96,96,0.8584407,0.41573348,0.71602103,1,0.50688855,,,0.49311145,,1,,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2022,100,100,100,0.86100835,0.40623763,0.72049783,1,0.50214782,,,0.49785218,,1,,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2025,93,93,93,0.86195255,0.41071982,0.69529396,1,0.51555559,,,0.48444441,,1,,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_ob,90,90,90,0.85953298,0.40895051,0.71769907,1,0.5177801,,,0.4822199,,1,,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_tt,90,90,90,0.85837212,0.41549566,0.70524733,1,0.50363749,,,0.49636251,,1,,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aegislab,96,96,96,0.82098177,0.46034891,0.64503072,1,0.74513396,,0.25486604,,,1,,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2022,100,100,100,0.82237495,0.4417683,0.66303785,1,0.7455597,,0.2544403,,,1,,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2025,93,93,93,0.82503616,0.44823718,0.6539225,1,0.74106288,,0.25893712,,,1,,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_ob,90,90,90,0.81880245,0.45707295,0.67084933,1,0.74444407,,0.25555593,,,1,,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_tt,90,90,90,0.82957505,0.45815367,0.66339882,1,0.76818588,,0.23181412,,,1,,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aegislab,96,96,96,0.85989672,0.43691393,0.69607259,1,0.43438576,,0.14043219,0.42518205,,1,,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2022,100,100,100,0.86329738,0.42384461,0.70193983,1,0.43334872,,0.13803972,0.42861155,,1,,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2025,93,93,93,0.86401991,0.42808384,0.68863006,1,0.43963427,,0.14229034,0.41807539,,1,,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_ob,90,90,90,0.86087192,0.42992936,0.69917904,1,0.43997911,,0.14445319,0.41556769,,1,,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_tt,90,90,90,0.86255609,0.43950655,0.69238574,1,0.44331988,,0.12579625,0.43088386,,1,,1,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aegislab,96,96,96,0.81350189,0.49577084,0.58032703,1,0.71918902,0.28081098,,,,1,1,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2022,100,100,100,0.81146653,0.4881934,0.57139492,1,0.70905202,0.29094798,,,,1,1,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2025,93,93,93,0.8140843,0.49414829,0.56450141,1,0.70761541,0.29238459,,,,1,1,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_ob,90,90,90,0.81683462,0.49379532,0.59158624,1,0.73733298,0.26266702,,,,1,1,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_tt,90,90,90,0.81264227,0.49909601,0.58562953,1,0.71202916,0.28797084,,,,1,1,,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aegislab,96,96,96,0.85487685,0.45958594,0.64555429,1,0.43239618,0.16247046,,0.40513337,,1,1,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2022,100,100,100,0.85649609,0.45132067,0.64015984,1,0.42838633,0.16860403,,0.40300965,,1,1,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2025,93,93,93,0.85824228,0.45615727,0.63037699,1,0.43460876,0.16893729,,0.39645395,,1,1,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_ob,90,90,90,0.85938432,0.45154903,0.6577587,1,0.4477452,0.15325782,,0.39899697,,1,1,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_tt,90,90,90,0.8568443,0.46236287,0.64426486,1,0.42962646,0.16662095,,0.40375259,,1,1,,1,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aegislab,96,96,96,0.81542011,0.5198747,0.56616246,1,0.60735341,0.22725443,0.16539217,,,1,1,1,,,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2022,100,100,100,0.81711242,0.50637359,0.57606636,1,0.60263452,0.23309431,0.16427117,,,1,1,1,,,1
