experiment,model,arm,dataset,outcome_class,n
direct_rca,gemma-4-26b-a4b,T,aiops2022,rank_2_3,17
direct_rca,gemma-4-26b-a4b,T,aiops2022,rank_4_5,3
direct_rca,gemma-4-26b-a4b,T,aiops2022,top1_correct,34
direct_rca,gemma-4-26b-a4b,T,aiops2022,top5_miss,46
direct_rca,gemma-4-26b-a4b,T,aiops2025,rank_2_3,11
direct_rca,gemma-4-26b-a4b,T,aiops2025,rank_4_5,5
direct_rca,gemma-4-26b-a4b,T,aiops2025,top1_correct,17
direct_rca,gemma-4-26b-a4b,T,aiops2025,top5_miss,60
direct_rca,gemma-4-26b-a4b,T,re2_ob,rank_2_3,20
direct_rca,gemma-4-26b-a4b,T,re2_ob,rank_4_5,3
direct_rca,gemma-4-26b-a4b,T,re2_ob,top1_correct,63
direct_rca,gemma-4-26b-a4b,T,re2_ob,top5_miss,4
direct_rca,gemma-4-26b-a4b,T,re2_tt,rank_2_3,13
direct_rca,gemma-4-26b-a4b,T,re2_tt,rank_4_5,7
direct_rca,gemma-4-26b-a4b,T,re2_tt,top1_correct,57
direct_rca,gemma-4-26b-a4b,T,re2_tt,top5_miss,13
direct_rca,gemma-4-26b-a4b,V,aegislab,rank_2_3,5
direct_rca,gemma-4-26b-a4b,V,aegislab,rank_4_5,1
direct_rca,gemma-4-26b-a4b,V,aegislab,top1_correct,34
direct_rca,gemma-4-26b-a4b,V,aegislab,top5_miss,56
direct_rca,gemma-4-26b-a4b,V,aiops2022,rank_2_3,7
direct_rca,gemma-4-26b-a4b,V,aiops2022,top1_correct,21
direct_rca,gemma-4-26b-a4b,V,aiops2022,top5_miss,72
direct_rca,gemma-4-26b-a4b,V,aiops2025,rank_2_3,2
direct_rca,gemma-4-26b-a4b,V,aiops2025,rank_4_5,4
direct_rca,gemma-4-26b-a4b,V,aiops2025,top1_correct,16
direct_rca,gemma-4-26b-a4b,V,aiops2025,top5_miss,71
direct_rca,gemma-4-26b-a4b,V,re2_ob,rank_2_3,12
direct_rca,gemma-4-26b-a4b,V,re2_ob,rank_4_5,1
direct_rca,gemma-4-26b-a4b,V,re2_ob,top1_correct,61
direct_rca,gemma-4-26b-a4b,V,re2_ob,top5_miss,16
direct_rca,gemma-4-26b-a4b,V,re2_tt,rank_2_3,6
direct_rca,gemma-4-26b-a4b,V,re2_tt,rank_4_5,1
direct_rca,gemma-4-26b-a4b,V,re2_tt,top1_correct,48
direct_rca,gemma-4-26b-a4b,V,re2_tt,top5_miss,35
direct_rca,qwen3.6-27b,F,aegislab,rank_2_3,28
direct_rca,qwen3.6-27b,F,aegislab,rank_4_5,7
direct_rca,qwen3.6-27b,F,aegislab,top1_correct,35
direct_rca,qwen3.6-27b,F,aegislab,top5_miss,26
direct_rca,qwen3.6-27b,F,aiops2022,rank_2_3,17
direct_rca,qwen3.6-27b,F,aiops2022,rank_4_5,12
direct_rca,qwen3.6-27b,F,aiops2022,top1_correct,19
direct_rca,qwen3.6-27b,F,aiops2022,top5_miss,52
direct_rca,qwen3.6-27b,F,aiops2025,rank_2_3,15
direct_rca,qwen3.6-27b,F,aiops2025,rank_4_5,6
direct_rca,qwen3.6-27b,F,aiops2025,top1_correct,19
direct_rca,qwen3.6-27b,F,aiops2025,top5_miss,53
direct_rca,qwen3.6-27b,F,re2_ob,rank_2_3,28
direct_rca,qwen3.6-27b,F,re2_ob,rank_4_5,1
direct_rca,qwen3.6-27b,F,re2_ob,top1_correct,59
direct_rca,qwen3.6-27b,F,re2_ob,top5_miss,2
direct_rca,qwen3.6-27b,F,re2_tt,rank_2_3,22
direct_rca,qwen3.6-27b,F,re2_tt,rank_4_5,1
direct_rca,qwen3.6-27b,F,re2_tt,top1_correct,54
direct_rca,qwen3.6-27b,F,re2_tt,top5_miss,13
direct_rca,qwen3.6-27b,H,aegislab,rank_2_3,26
direct_rca,qwen3.6-27b,H,aegislab,rank_4_5,7
direct_rca,qwen3.6-27b,H,aegislab,top1_correct,35
direct_rca,qwen3.6-27b,H,aegislab,top5_miss,28
direct_rca,qwen3.6-27b,H,aiops2022,rank_2_3,17
direct_rca,qwen3.6-27b,H,aiops2022,rank_4_5,5
direct_rca,qwen3.6-27b,H,aiops2022,top1_correct,20
direct_rca,qwen3.6-27b,H,aiops2022,top5_miss,58
direct_rca,qwen3.6-27b,H,aiops2025,rank_2_3,14
direct_rca,qwen3.6-27b,H,aiops2025,rank_4_5,6
direct_rca,qwen3.6-27b,H,aiops2025,top1_correct,17
direct_rca,qwen3.6-27b,H,aiops2025,top5_miss,56
direct_rca,qwen3.6-27b,H,re2_ob,rank_2_3,31
direct_rca,qwen3.6-27b,H,re2_ob,rank_4_5,1
direct_rca,qwen3.6-27b,H,re2_ob,top1_correct,52
direct_rca,qwen3.6-27b,H,re2_ob,top5_miss,6
direct_rca,qwen3.6-27b,H,re2_tt,rank_2_3,22
direct_rca,qwen3.6-27b,H,re2_tt,rank_4_5,2
direct_rca,qwen3.6-27b,H,re2_tt,top1_correct,51
direct_rca,qwen3.6-27b,H,re2_tt,top5_miss,15
direct_rca,qwen3.6-27b,P,aegislab,rank_2_3,29
direct_rca,qwen3.6-27b,P,aegislab,rank_4_5,3
direct_rca,qwen3.6-27b,P,aegislab,top1_correct,25
direct_rca,qwen3.6-27b,P,aegislab,top5_miss,39
direct_rca,qwen3.6-27b,P,aiops2022,rank_2_3,18
direct_rca,qwen3.6-27b,P,aiops2022,rank_4_5,3
direct_rca,qwen3.6-27b,P,aiops2022,top1_correct,13
direct_rca,qwen3.6-27b,P,aiops2022,top5_miss,66
direct_rca,qwen3.6-27b,P,aiops2025,rank_2_3,12
direct_rca,qwen3.6-27b,P,aiops2025,rank_4_5,2
direct_rca,qwen3.6-27b,P,aiops2025,top1_correct,20
direct_rca,qwen3.6-27b,P,aiops2025,top5_miss,59
direct_rca,qwen3.6-27b,P,re2_ob,rank_2_3,20
direct_rca,qwen3.6-27b,P,re2_ob,rank_4_5,1
direct_rca,qwen3.6-27b,P,re2_ob,top1_correct,47
direct_rca,qwen3.6-27b,P,re2_ob,top5_miss,22
direct_rca,qwen3.6-27b,P,re2_tt,rank_2_3,28
direct_rca,qwen3.6-27b,P,re2_tt,top1_correct,32
direct_rca,qwen3.6-27b,P,re2_tt,top5_miss,30
direct_rca,qwen3.6-27b,R,aegislab,rank_2_3,24
direct_rca,qwen3.6-27b,R,aegislab,rank_4_5,4
direct_rca,qwen3.6-27b,R,aegislab,top1_correct,33
direct_rca,qwen3.6-27b,R,aegislab,top5_miss,35
direct_rca,qwen3.6-27b,R,aiops2022,rank_2_3,16
direct_rca,qwen3.6-27b,R,aiops2022,rank_4_5,4
direct_rca,qwen3.6-27b,R,aiops2022,top1_correct,20
direct_rca,qwen3.6-27b,R,aiops2022,top5_miss,60
direct_rca,qwen3.6-27b,R,aiops2025,rank_2_3,13
direct_rca,qwen3.6-27b,R,aiops2025,rank_4_5,9
direct_rca,qwen3.6-27b,R,aiops2025,top1_correct,23
direct_rca,qwen3.6-27b,R,aiops2025,top5_miss,48
direct_rca,qwen3.6-27b,R,re2_ob,rank_2_3,26
direct_rca,qwen3.6-27b,R,re2_ob,rank_4_5,2
direct_rca,qwen3.6-27b,R,re2_ob,top1_correct,49
direct_rca,qwen3.6-27b,R,re2_ob,top5_miss,13
direct_rca,qwen3.6-27b,R,re2_tt,rank_2_3,16
direct_rca,qwen3.6-27b,R,re2_tt,rank_4_5,7
direct_rca,qwen3.6-27b,R,re2_tt,top1_correct,39
direct_rca,qwen3.6-27b,R,re2_tt,top5_miss,28
direct_rca,qwen3.6-27b,T,aegislab,rank_2_3,26
direct_rca,qwen3.6-27b,T,aegislab,rank_4_5,11
direct_rca,qwen3.6-27b,T,aegislab,top1_correct,41
direct_rca,qwen3.6-27b,T,aegislab,top5_miss,18
direct_rca,qwen3.6-27b,T,aiops2022,rank_2_3,13
direct_rca,qwen3.6-27b,T,aiops2022,rank_4_5,9
direct_rca,qwen3.6-27b,T,aiops2022,top1_correct,26
direct_rca,qwen3.6-27b,T,aiops2022,top5_miss,52
direct_rca,qwen3.6-27b,T,aiops2025,rank_2_3,12
direct_rca,qwen3.6-27b,T,aiops2025,rank_4_5,9
