experiment,model,arm,dataset,fault_type,n,ac1,ac3,ac5,mrr,unknown_ids
direct_rca,gemma-4-26b-a4b,F,re2_ob,mem,15,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,re2_ob,socket,15,0.8,1,1,0.88888889,0
direct_rca,gemma-4-26b-a4b,F,re2_tt,cpu,15,0.93333333,0.93333333,0.93333333,0.93333333,0
direct_rca,gemma-4-26b-a4b,F,re2_tt,delay,15,0.26666667,0.66666667,0.66666667,0.42222222,0
direct_rca,gemma-4-26b-a4b,F,re2_tt,disk,15,0.73333333,1,1,0.86666667,0
direct_rca,gemma-4-26b-a4b,F,re2_tt,loss,15,0.2,0.33333333,0.33333333,0.25555556,0
direct_rca,gemma-4-26b-a4b,F,re2_tt,mem,15,0.86666667,1,1,0.92222222,0
direct_rca,gemma-4-26b-a4b,F,re2_tt,socket,15,0.86666667,0.93333333,1,0.91666667,0
direct_rca,gemma-4-26b-a4b,H,aegislab,ContainerKill,6,0.66666667,0.83333333,0.83333333,0.75,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPRequestAbort,6,0.16666667,0.16666667,0.16666667,0.16666667,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPRequestDelay,7,0,0.14285714,0.14285714,0.047619048,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPRequestReplaceMethod,15,0.4,0.4,0.4,0.4,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPRequestReplacePath,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPResponseAbort,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPResponseDelay,7,0.14285714,0.14285714,0.14285714,0.14285714,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPResponseReplaceBody,2,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,H,aegislab,HTTPResponseReplaceCode,13,0.53846154,0.53846154,0.53846154,0.53846154,0
direct_rca,gemma-4-26b-a4b,H,aegislab,JVMException,3,0.33333333,0.66666667,0.66666667,0.44444444,0
direct_rca,gemma-4-26b-a4b,H,aegislab,JVMLatency,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aegislab,JVMMemoryStress,14,0.57142857,0.78571429,0.85714286,0.69285714,0
direct_rca,gemma-4-26b-a4b,H,aegislab,JVMReturn,2,0.5,1,1,0.66666667,0
direct_rca,gemma-4-26b-a4b,H,aegislab,NetworkBandwidth,2,0,0.5,1,0.29166667,0
direct_rca,gemma-4-26b-a4b,H,aegislab,NetworkCorrupt,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,H,aegislab,NetworkDelay,1,0,0,0,0,0
