experiment,model,arm,dataset,fault_type,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器进程中止,5,0.84737259,0.12297419,0.84615385,1,0.63356602,0.021676809,0.041750407,0.30300677,,0.96543393,0.4624386,0.89067535,1.2120271,
cross_region,gemma-4-26b-a4b,H,aiops2022,node 内存消耗,5,0.84889603,0.11839753,0.84615385,1,0.62359932,0.023762754,0.039284439,0.31335349,,0.95024658,0.50693875,0.83806804,1.2534139,
cross_region,gemma-4-26b-a4b,H,aiops2022,node 磁盘写IO消耗,6,0.84892125,0.10764126,0.86538462,1,0.6256334,0.020416923,0.043212546,0.31073713,,0.95334614,0.43556102,0.92186764,1.2429485,
cross_region,gemma-4-26b-a4b,H,aiops2022,node 磁盘空间消耗,5,0.84782838,0.12659054,0.84615385,1,0.65032677,0.021434595,0.03552604,0.29271259,,0.99097413,0.45727137,0.75788886,1.1708504,
cross_region,gemma-4-26b-a4b,H,aiops2022,node 磁盘读IO消耗,5,0.8492559,0.12196081,0.85384615,1,0.62905842,0.022423486,0.043405593,0.3051125,,0.95856521,0.47836771,0.92598599,1.22045,
cross_region,gemma-4-26b-a4b,H,aiops2022,node节点CPU故障,5,0.85041605,0.1292545,0.85384615,1,0.62758132,0.020944971,0.047332868,0.30414084,,0.95631439,0.44682604,1.0097678,1.2165634,
cross_region,gemma-4-26b-a4b,H,aiops2022,node节点CPU爬升,3,0.8468533,0.11096177,0.8974359,1,0.64316155,0.021490641,0.03511954,0.30022827,,0.98005569,0.45846702,0.74921684,1.2009131,
cross_region,gemma-4-26b-a4b,H,aiops2025,code error,1,0.85712208,0.1326195,0.80769231,1,0.59520775,0.023070337,0.048430816,0.3332911,,0.90698324,0.49216719,1.0331907,1.3331644,
cross_region,gemma-4-26b-a4b,H,aiops2025,cpu stress,8,0.85170084,0.12457111,0.86057692,1,0.60233888,0.026384352,0.041106557,0.33017021,,0.91784972,0.56286618,0.87693989,1.3206808,
cross_region,gemma-4-26b-a4b,H,aiops2025,dns error,5,0.85241001,0.13029201,0.85384615,1,0.6029232,0.021272238,0.041870171,0.33393439,,0.91874011,0.45380775,0.89323032,1.3357376,
cross_region,gemma-4-26b-a4b,H,aiops2025,io fault,5,0.85148587,0.10660348,0.88461538,1,0.61827324,0.021942267,0.036185542,0.32359895,,0.94213066,0.4681017,0.77195824,1.2943958,
cross_region,gemma-4-26b-a4b,H,aiops2025,jvm cpu,3,0.85029071,0.13432569,0.79487179,1,0.58273064,0.020937846,0.056623517,0.339708,,0.8879705,0.44667406,1.2079684,1.358832,
cross_region,gemma-4-26b-a4b,H,aiops2025,jvm exception,3,0.84586648,0.16265894,0.82051282,1,0.58535249,0.021491713,0.061437993,0.3317178,,0.8919657,0.45848989,1.3106772,1.3268712,
cross_region,gemma-4-26b-a4b,H,aiops2025,jvm gc,2,0.85274083,0.16014947,0.80769231,1,0.57254529,0.021633051,0.0561293,0.34969236,,0.87244996,0.46150509,1.1974251,1.3987695,
cross_region,gemma-4-26b-a4b,H,aiops2025,jvm latency,5,0.85370326,0.14992951,0.82307692,1,0.58881428,0.022271723,0.054088854,0.33482515,,0.8972408,0.4751301,1.1538955,1.3393006,
cross_region,gemma-4-26b-a4b,H,aiops2025,memory stress,6,0.85286304,0.1321003,0.8525641,1,0.61768394,0.019945647,0.03515899,0.32721143,,0.94123266,0.42550713,0.75005845,1.3088457,
cross_region,gemma-4-26b-a4b,H,aiops2025,network corrupt,6,0.85009191,0.13035164,0.83333333,1,0.58425102,0.023806964,0.050857502,0.34108452,,0.9019943,0.50788189,1.08496,1.3310684,
cross_region,gemma-4-26b-a4b,H,aiops2025,network delay,7,0.8544381,0.10980958,0.87362637,1,0.60165649,0.0223456,0.03460882,0.34138909,,0.91680989,0.47670613,0.7383215,1.3655563,
cross_region,gemma-4-26b-a4b,H,aiops2025,network loss,5,0.85403873,0.13484305,0.83076923,1,0.58947082,0.019771125,0.054628974,0.33612908,,0.89824124,0.421784,1.1654181,1.3445163,
cross_region,gemma-4-26b-a4b,H,aiops2025,node cpu stress,6,0.84796043,0.12664453,0.84615385,1,0.608878,0.019891527,0.032856228,0.33837424,,0.9278141,0.42435257,0.70093287,1.353497,
cross_region,gemma-4-26b-a4b,H,aiops2025,node disk fill,4,0.85599364,0.097799038,0.92307692,1,0.6135829,0.02326436,0.038963189,0.32418955,,0.93498347,0.49630634,0.8312147,1.2967582,
cross_region,gemma-4-26b-a4b,H,aiops2025,node memory stress,12,0.85450551,0.12464486,0.84615385,1,0.60444678,0.020717135,0.04197535,0.33286073,,0.92106177,0.44196555,0.89547413,1.3314429,
cross_region,gemma-4-26b-a4b,H,aiops2025,pod failure,10,0.84830097,0.1194811,0.86153846,1,0.58553901,0.021940095,0.062014918,0.33050598,,0.89224992,0.46805535,1.3229849,1.3220239,
cross_region,gemma-4-26b-a4b,H,aiops2025,pod kill,2,0.84151131,0.10662889,0.88461538,1,0.58822422,0.02104163,0.075187789,0.31554636,,0.89634167,0.4488881,1.6040062,1.2621854,
cross_region,gemma-4-26b-a4b,H,aiops2025,target port misconfig,3,0.85351453,0.11535898,0.83333333,1,0.61590579,0.020588289,0.039714968,0.32379095,,0.93852311,0.43921683,0.84725265,1.2951638,
cross_region,gemma-4-26b-a4b,H,re2_ob,cpu,15,0.84779225,0.10510586,0.92564103,1,0.6447304,0.021849774,0.04703347,0.28638635,,0.98244633,0.46612851,1.0033807,1.1455454,
cross_region,gemma-4-26b-a4b,H,re2_ob,delay,15,0.84453692,0.10080793,0.92564103,1,0.63979158,0.024967554,0.044935744,0.29030513,,0.9749205,0.53264116,0.9586292,1.1612205,
cross_region,gemma-4-26b-a4b,H,re2_ob,disk,15,0.84238631,0.09487464,0.94102564,1,0.64175366,0.023201672,0.057558517,0.27748615,,0.97791033,0.494969,1.227915,1.1099446,
cross_region,gemma-4-26b-a4b,H,re2_ob,loss,15,0.84408871,0.13882333,0.87179487,1,0.64055093,0.026779613,0.041079048,0.29159041,,0.97607761,0.57129842,0.87635303,1.1663616,
cross_region,gemma-4-26b-a4b,H,re2_ob,mem,15,0.84563665,0.11412002,0.8974359,1,0.65445208,0.02405736,0.042706051,0.27878451,,0.99726031,0.51322369,0.91106243,1.115138,
cross_region,gemma-4-26b-a4b,H,re2_ob,socket,15,0.84178511,0.10233598,0.93076923,1,0.63702613,0.024304215,0.06030863,0.27836103,,0.97070648,0.51848991,1.2865841,1.1134441,
cross_region,gemma-4-26b-a4b,H,re2_tt,cpu,15,0.85085332,0.1368875,0.85641026,1,0.62992522,0.02200961,0.051106546,0.29695863,,0.96951761,0.46953834,1.090273,1.1625314,
cross_region,gemma-4-26b-a4b,H,re2_tt,delay,15,0.85657938,0.13173151,0.87179487,1,0.61971393,0.018925518,0.055413066,0.30594749,,1.0228086,0.46548643,1.1821454,1.0378708,
cross_region,gemma-4-26b-a4b,H,re2_tt,disk,15,0.85319447,0.11507019,0.88205128,1,0.62189277,0.02052794,0.048460822,0.30911847,,0.94764613,0.43792938,1.0338309,1.2364739,
cross_region,gemma-4-26b-a4b,H,re2_tt,loss,15,0.85085624,0.13254306,0.86666667,1,0.63092254,0.020599201,0.042720999,0.30575726,,0.98262995,0.44677673,0.9113813,1.1752386,
cross_region,gemma-4-26b-a4b,H,re2_tt,mem,15,0.85610034,0.12182763,0.87948718,1,0.62146755,0.020336043,0.038811972,0.31938443,,0.95713484,0.43383558,0.82798874,1.2528111,
cross_region,gemma-4-26b-a4b,H,re2_tt,socket,15,0.85238309,0.11576945,0.88461538,1,0.62149065,0.019699162,0.047055793,0.31175439,,0.95691875,0.42024878,1.0038569,1.2218802,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,ContainerKill,6,0.87333154,0.45869812,0.65416657,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,HTTPRequestAbort,6,0.87247763,0.4579163,0.70341315,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,HTTPRequestDelay,7,0.87837986,0.46899155,0.6762317,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,HTTPRequestReplaceMethod,15,0.87454948,0.47098731,0.67345066,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,HTTPRequestReplacePath,1,0.88213502,0.46531957,0.68016421,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,HTTPResponseAbort,3,0.87283684,0.45952307,0.68688349,1,,,,1,,,,,1,
