experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
direct_rca,gemma-4-26b-a4b,V,aegislab,correct,34,0.87895201,0.1086489,0.89253394,,0.62696898,0.023568514,0.042148756,0.30731375,,0.99426159,0.51131709,0.89917346,1.125108,
direct_rca,gemma-4-26b-a4b,V,aegislab,incorrect,62,0.87728351,0.12703885,0.86724566,,0.62287357,0.023462746,0.043100166,0.31056352,,0.97394048,0.50915851,0.91947021,1.1758658,
direct_rca,gemma-4-26b-a4b,V,aiops2022,correct,21,0.87257621,0.12865739,0.83882784,,0.60947019,0.025261854,0.044500825,0.32076713,,0.93195569,0.53891954,0.94935094,1.2734772,
direct_rca,gemma-4-26b-a4b,V,aiops2022,incorrect,79,0.87047688,0.12494267,0.8617332,,0.6089396,0.025676654,0.043880043,0.3215037,,0.9314135,0.54776862,0.93610758,1.2752168,
direct_rca,gemma-4-26b-a4b,V,aiops2025,correct,16,0.868367,0.13376552,0.85817308,,0.60464212,0.024980473,0.039726267,0.33065114,,0.92135942,0.53291676,0.84749369,1.3226046,
direct_rca,gemma-4-26b-a4b,V,aiops2025,incorrect,77,0.86894698,0.12692157,0.87062937,,0.60846095,0.024911761,0.038700095,0.3279272,,0.92717858,0.53145089,0.82560203,1.3117088,
direct_rca,gemma-4-26b-a4b,V,re2_ob,correct,61,0.87039627,0.094631552,0.90542245,,0.60015174,0.026737157,0.041346283,0.33176482,,0.91451694,0.57039269,0.88205405,1.3270593,
direct_rca,gemma-4-26b-a4b,V,re2_ob,incorrect,29,0.87026041,0.11056939,0.89522546,,0.60286976,0.028897546,0.037838399,0.33039429,,0.91865869,0.61648099,0.80721918,1.3215772,
direct_rca,gemma-4-26b-a4b,V,re2_tt,correct,48,0.87553533,0.11663038,0.89583333,,0.62130475,0.023605256,0.03897462,0.31611537,,0.9511671,0.5035788,0.83145855,1.2513679,
direct_rca,gemma-4-26b-a4b,V,re2_tt,incorrect,42,0.87706389,0.14276171,0.86263736,,0.61409718,0.024144593,0.04292877,0.31882946,,0.96043263,0.52783468,0.9233532,1.2080592,
