experiment,model,arm,dataset_scope,n,mean_text_tokens,sum_text_tokens,mean_image_tokens,sum_image_tokens,mean_input_tokens,sum_input_tokens,mean_output_tokens,sum_output_tokens,mean_total_tokens,sum_total_tokens,mean_model_calls,sum_model_calls,mean_incremental_total_tokens,mean_amortized_total_tokens,mean_amortized_model_calls
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,aegislab,96,19740.375,1895076,668.92708,64217,20409.302,1959293,378.15625,36303,20787.458,1995596,2,192,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,aegislab,96,21088.698,2024515,98,9408,21186.698,2033923,379.96875,36477,21566.667,2070400,2,192,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,aegislab,96,19599.417,1881544,668.92708,64217,20268.344,1945761,379.26042,36409,20647.604,1982170,2,192,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,aegislab,96,20575.062,1975206,196,18816,20771.062,1994022,377.27083,36218,21148.333,2030240,2,192,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,aegislab,96,19068.438,1830570,766.92708,73625,19835.365,1904195,376.53125,36147,20211.896,1940342,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,aegislab,96,6056.3646,581411,1371,131616,7427.3646,713027,381.77083,36650,7809.1354,749677,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,aegislab,96,4501.2396,432119,1941.9271,186425,6443.1667,618544,379.80208,36461,6822.9688,655005,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,aegislab,96,5492.4583,527276,1469,141024,6961.4583,668300,379.95833,36476,7341.4167,704776,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,aegislab,96,3998.7188,383877,2039.9271,195833,6038.6458,579710,379.44792,36427,6418.0938,616137,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,aegislab,96,5283.6667,507232,1469,141024,6752.6667,648256,379.44792,36427,7132.1146,684683,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,aegislab,96,3833.6979,368035,2039.9271,195833,5873.625,563868,380.63542,36541,6254.2604,600409,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,aegislab,96,4760.2083,456980,1567,150432,6327.2083,607412,378.05208,36293,6705.2604,643705,2,192,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,aegislab,96,3305.0833,317288,2137.9271,205241,5443.0104,522529,378.78125,36363,5821.7917,558892,2,192,,,
typed_two_stage,qwen3.8-27b,P,aegislab,96,3279.5833,314840,20752.312,1992222,24031.896,2307062,377.71875,36261,24409.615,2343323,2,192,,,
typed_two_stage,qwen3.8-27b,V,aegislab,96,3290.5417,315892,2144.2188,205845,5434.7604,521737,378.125,36300,5812.8854,558037,2,192,,,
typed_two_stage,qwen3.8-27b,H,aiops2022,100,18710.11,1871011,2088.42,208842,20798.53,2079853,250.45,25045,21048.98,2104898,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,aiops2022,100,18717.87,1871787,0,0,18717.87,1871787,250.25,25025,18968.12,1896812,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,aiops2022,100,17335.29,1733529,521.09,52109,17856.38,1785638,249.85,24985,18106.23,1810623,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,aiops2022,100,18263.67,1826367,98,9800,18361.67,1836167,250.91,25091,18612.58,1861258,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,aiops2022,100,16889.68,1688968,619.09,61909,17508.77,1750877,250.06,25006,17758.83,1775883,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,aiops2022,100,18030.41,1803041,98,9800,18128.41,1812841,250.97,25097,18379.38,1837938,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,aiops2022,100,16632.45,1663245,619.09,61909,17251.54,1725154,249.87,24987,17501.41,1750141,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,aiops2022,100,17563.71,1756371,196,19600,17759.71,1775971,250.01,25001,18009.72,1800972,2,200,,,
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,aiops2022,100,16192.76,1619276,717.09,71709,16909.85,1690985,250.89,25089,17160.74,1716074,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,aiops2022,100,4960.83,496083,1371,137100,6331.83,633183,251.14,25114,6582.97,658297,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,aiops2022,100,3591.59,359159,1892.09,189209,5483.68,548368,250.52,25052,5734.2,573420,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,aiops2022,100,4511.02,451102,1469,146900,5980.02,598002,251.15,25115,6231.17,623117,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,aiops2022,100,3127.31,312731,1990.09,199009,5117.4,511740,250.93,25093,5368.33,536833,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,aiops2022,100,4265.14,426514,1469,146900,5734.14,573414,250.35,25035,5984.49,598449,2,200,,,
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,aiops2022,100,2874.73,287473,1990.09,199009,4864.82,486482,250.18,25018,5115,511500,2,200,,,
