experiment,model,comparison,dimension,value,repair_n,break_n,n,delta,p,cohen_dz,improve,degrade,tie
direct_rca,qwen3.6-27b,R - T,fault_type,node memory stress,0,0,12,0.011111111,1,0.095267558,1,1,10
direct_rca,qwen3.6-27b,R - T,fault_type,node 内存消耗,1,0,5,0.1,1,0.4472136,1,0,4
direct_rca,qwen3.6-27b,R - T,fault_type,node 磁盘写IO消耗,0,2,6,-0.25,0.5,-0.5976143,0,2,4
direct_rca,qwen3.6-27b,R - T,fault_type,node 磁盘空间消耗,1,1,5,0.066666667,1,0.1118034,1,1,3
direct_rca,qwen3.6-27b,R - T,fault_type,node 磁盘读IO消耗,0,1,5,-0.15,1,-0.4472136,0,1,4
direct_rca,qwen3.6-27b,R - T,fault_type,node节点CPU故障,1,0,5,0.12333333,1,0.40503127,1,1,3
direct_rca,qwen3.6-27b,R - T,fault_type,node节点CPU爬升,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,fault_type,pod failure,0,1,10,0.02,1,0.056293997,2,1,7
direct_rca,qwen3.6-27b,R - T,fault_type,pod kill,0,1,2,0,1,0,1,1,0
direct_rca,qwen3.6-27b,R - T,fault_type,target port misconfig,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,root_service,adservice,0,0,16,-0.041666667,0.083721346,-0.42958962,0,3,13
direct_rca,qwen3.6-27b,R - T,root_service,adservice-0,0,1,1,-1,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,root_service,adservice-1,1,0,3,0.26666667,1,0.57735027,1,0,2
direct_rca,qwen3.6-27b,R - T,root_service,adservice2-0,1,0,1,1,1,inf,1,0,0
direct_rca,qwen3.6-27b,R - T,root_service,cartservice,3,2,12,0.13194444,0.515625,0.23232378,4,3,5
direct_rca,qwen3.6-27b,R - T,root_service,cartservice-0,0,0,2,0.15,1,0.70710678,1,0,1
direct_rca,qwen3.6-27b,R - T,root_service,cartservice2-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,checkoutservice,6,0,21,0.24365079,0.013370334,0.64013577,10,2,9
direct_rca,qwen3.6-27b,R - T,root_service,checkoutservice-0,0,0,2,-0.16666667,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,R - T,root_service,checkoutservice-1,0,1,2,-0.25,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,R - T,root_service,currencyservice,0,0,6,-0.033333333,1,-0.22140372,1,2,3
direct_rca,qwen3.6-27b,R - T,root_service,currencyservice-0,0,0,1,0,1,0,0,0,1
direct_rca,qwen3.6-27b,R - T,root_service,currencyservice-1,0,1,2,-0.5,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,R - T,root_service,currencyservice-2,0,2,2,-1,0.5,-inf,0,2,0
direct_rca,qwen3.6-27b,R - T,root_service,emailservice,0,0,6,-0.097222222,0.5,-0.63583837,0,2,4
