experiment,model,arm,dataset,n,supported,unsupported,binding_rate
matched_rca,gemma-4-26b-a4b,R,aiops2025,93,1475,9,0.99393531
matched_rca,gemma-4-26b-a4b,R,re2_ob,90,1434,6,0.99583333
matched_rca,gemma-4-26b-a4b,R,re2_tt,90,1423,6,0.99580126
matched_rca,gemma-4-26b-a4b,T,aegislab,96,1536,0,1
matched_rca,gemma-4-26b-a4b,T,aiops2022,100,1588,7,0.99561129
matched_rca,gemma-4-26b-a4b,T,aiops2025,93,1481,7,0.9952957
matched_rca,gemma-4-26b-a4b,T,re2_ob,90,1433,7,0.99513889
matched_rca,gemma-4-26b-a4b,T,re2_tt,90,1429,7,0.99512535
matched_rca,gemma-4-26b-a4b,V,aegislab,96,1527,2,0.99869196
matched_rca,gemma-4-26b-a4b,V,aiops2022,100,1589,6,0.99623824
matched_rca,gemma-4-26b-a4b,V,aiops2025,93,1476,8,0.99460916
matched_rca,gemma-4-26b-a4b,V,re2_ob,90,1431,5,0.99651811
matched_rca,gemma-4-26b-a4b,V,re2_tt,90,1431,6,0.99582463
matched_rca,qwen3.6-27b,F,aegislab,96,1299,43,0.96795827
matched_rca,qwen3.6-27b,F,aiops2022,100,1354,35,0.97480202
matched_rca,qwen3.6-27b,F,aiops2025,93,1249,32,0.97501952
matched_rca,qwen3.6-27b,F,re2_ob,90,1211,10,0.99180999
matched_rca,qwen3.6-27b,F,re2_tt,90,1258,7,0.9944664
matched_rca,qwen3.6-27b,H,aegislab,96,1259,29,0.97748447
matched_rca,qwen3.6-27b,H,aiops2022,100,1329,21,0.98444444
matched_rca,qwen3.6-27b,H,aiops2025,93,1201,13,0.9892916
matched_rca,qwen3.6-27b,H,re2_ob,90,1112,7,0.99374441
matched_rca,qwen3.6-27b,H,re2_tt,90,1188,20,0.98344371
matched_rca,qwen3.6-27b,P,aegislab,41,546,24,0.95789474
matched_rca,qwen3.6-27b,P,aiops2022,100,1357,26,0.98120029
matched_rca,qwen3.6-27b,P,aiops2025,93,1300,13,0.99009901
matched_rca,qwen3.6-27b,P,re2_ob,90,1214,19,0.98459043
matched_rca,qwen3.6-27b,P,re2_tt,90,1188,21,0.98263027
matched_rca,qwen3.6-27b,R,aegislab,96,1284,37,0.97199092
matched_rca,qwen3.6-27b,R,aiops2022,100,1295,67,0.95080764
matched_rca,qwen3.6-27b,R,aiops2025,93,1211,49,0.96111111
matched_rca,qwen3.6-27b,R,re2_ob,90,1122,16,0.98594025
matched_rca,qwen3.6-27b,R,re2_tt,90,1182,31,0.97444353
matched_rca,qwen3.6-27b,T,aegislab,96,1256,29,0.97743191
matched_rca,qwen3.6-27b,T,aiops2022,100,1334,19,0.98595713
matched_rca,qwen3.6-27b,T,aiops2025,93,1300,17,0.98709188
matched_rca,qwen3.6-27b,T,re2_ob,90,1142,16,0.98618307
matched_rca,qwen3.6-27b,T,re2_tt,90,1205,15,0.98770492
matched_rca,qwen3.6-27b,V,aegislab,96,1188,101,0.92164469
matched_rca,qwen3.6-27b,V,aiops2022,100,1176,121,0.90670779
matched_rca,qwen3.6-27b,V,aiops2025,93,1137,84,0.93120393
matched_rca,qwen3.6-27b,V,re2_ob,90,1129,29,0.97495682
matched_rca,qwen3.6-27b,V,re2_tt,90,1172,58,0.95284553
matched_rca,qwen3.8-27b,F,aegislab,96,1074,13,0.98804048
matched_rca,qwen3.8-27b,F,aiops2022,100,1075,17,0.98443223
matched_rca,qwen3.8-27b,F,aiops2025,93,1073,15,0.98621324
matched_rca,qwen3.8-27b,F,re2_ob,90,980,5,0.99492386
matched_rca,qwen3.8-27b,F,re2_tt,90,1011,7,0.99312377
matched_rca,qwen3.8-27b,H,aegislab,96,1136,14,0.98782609
matched_rca,qwen3.8-27b,H,aiops2022,100,1137,15,0.98697917
matched_rca,qwen3.8-27b,H,aiops2025,93,1091,12,0.98912058
matched_rca,qwen3.8-27b,H,re2_ob,90,1035,8,0.99232982
matched_rca,qwen3.8-27b,H,re2_tt,90,1074,11,0.98986175
matched_rca,qwen3.8-27b,P,aegislab,96,1263,47,0.96412214
matched_rca,qwen3.8-27b,P,aiops2022,100,1206,42,0.96634615
matched_rca,qwen3.8-27b,P,aiops2025,93,1142,43,0.96371308
matched_rca,qwen3.8-27b,P,re2_ob,90,1152,29,0.97544454
matched_rca,qwen3.8-27b,P,re2_tt,90,1113,40,0.96530789
matched_rca,qwen3.8-27b,R,aegislab,96,903,26,0.97201292
matched_rca,qwen3.8-27b,R,aiops2022,100,863,23,0.97404063
matched_rca,qwen3.8-27b,R,aiops2025,93,944,19,0.98026999
matched_rca,qwen3.8-27b,R,re2_ob,90,893,8,0.99112098
matched_rca,qwen3.8-27b,R,re2_tt,90,849,16,0.98150289
matched_rca,qwen3.8-27b,T,aegislab,96,1121,15,0.98679577
matched_rca,qwen3.8-27b,T,aiops2022,100,1181,13,0.98911223
matched_rca,qwen3.8-27b,T,aiops2025,93,1100,24,0.97864769
matched_rca,qwen3.8-27b,T,re2_ob,90,1091,3,0.99725777
matched_rca,qwen3.8-27b,T,re2_tt,90,1142,11,0.99045967
matched_rca,qwen3.8-27b,V,aegislab,96,1080,57,0.94986807
matched_rca,qwen3.8-27b,V,aiops2022,100,969,58,0.94352483
matched_rca,qwen3.8-27b,V,aiops2025,93,922,44,0.95445135
matched_rca,qwen3.8-27b,V,re2_ob,90,938,19,0.98014629
matched_rca,qwen3.8-27b,V,re2_tt,90,852,38,0.95730337
typed_two_stage,gemma-4-26b-a4b,H,aegislab,96,421,99,0.80961538
typed_two_stage,gemma-4-26b-a4b,H,aiops2022,100,290,63,0.82152975
typed_two_stage,gemma-4-26b-a4b,H,aiops2025,93,295,76,0.79514825
typed_two_stage,gemma-4-26b-a4b,H,re2_ob,90,434,106,0.8037037
typed_two_stage,gemma-4-26b-a4b,H,re2_tt,90,452,78,0.85283019
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,96,442,78,0.85
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,100,299,54,0.8470255
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,93,329,42,0.88679245
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,90,492,48,0.91111111
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,90,463,67,0.87358491
