experiment,model,arm,dataset,n,supported,unsupported,binding_rate
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gt,aiops2022,100,282,64,0.8150289
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gt,aiops2025,93,319,62,0.83727034
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gt,re2_ob,90,448,92,0.82962963
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gt,re2_tt,90,431,101,0.81015038
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gv,aegislab,96,446,68,0.86770428
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gv,aiops2022,100,280,66,0.80924855
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gv,aiops2025,93,331,50,0.8687664
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gv,re2_ob,90,433,107,0.80185185
typed_two_stage,qwen3.6-27b,Mv-Rv-Lt-Gv,re2_tt,90,430,102,0.80827068
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gt,aegislab,96,416,98,0.80933852
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gt,aiops2022,100,267,79,0.7716763
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gt,aiops2025,93,321,60,0.84251969
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gt,re2_ob,90,409,131,0.75740741
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gt,re2_tt,90,365,167,0.68609023
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gv,aegislab,96,441,73,0.85797665
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gv,aiops2022,100,284,62,0.82080925
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gv,aiops2025,93,311,70,0.81627297
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gv,re2_ob,90,442,98,0.81851852
typed_two_stage,qwen3.6-27b,Mv-Rv-Lv-Gv,re2_tt,90,404,128,0.7593985
typed_two_stage,qwen3.6-27b,P,aegislab,96,446,68,0.86770428
typed_two_stage,qwen3.6-27b,P,aiops2022,100,302,44,0.87283237
typed_two_stage,qwen3.6-27b,P,aiops2025,93,354,27,0.92913386
typed_two_stage,qwen3.6-27b,P,re2_ob,90,490,50,0.90740741
typed_two_stage,qwen3.6-27b,P,re2_tt,90,461,71,0.86654135
typed_two_stage,qwen3.6-27b,V,aegislab,96,414,100,0.80544747
typed_two_stage,qwen3.6-27b,V,aiops2022,100,307,39,0.88728324
typed_two_stage,qwen3.6-27b,V,aiops2025,93,339,42,0.88976378
typed_two_stage,qwen3.6-27b,V,re2_ob,90,411,129,0.76111111
typed_two_stage,qwen3.6-27b,V,re2_tt,90,403,129,0.7575188
typed_two_stage,qwen3.8-27b,H,aegislab,96,527,34,0.93939394
typed_two_stage,qwen3.8-27b,H,aiops2022,100,336,25,0.93074792
typed_two_stage,qwen3.8-27b,H,aiops2025,93,373,14,0.96382429
typed_two_stage,qwen3.8-27b,H,re2_ob,90,525,15,0.97222222
typed_two_stage,qwen3.8-27b,H,re2_tt,90,503,29,0.94548872
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,aegislab,96,500,61,0.8912656
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,aiops2022,100,334,27,0.92520776
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,aiops2025,93,369,18,0.95348837
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,re2_ob,90,523,17,0.96851852
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gt,re2_tt,90,491,41,0.92293233
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,aegislab,96,504,57,0.89839572
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,aiops2022,100,321,40,0.88919668
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,aiops2025,93,360,27,0.93023256
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,re2_ob,90,499,41,0.92407407
typed_two_stage,qwen3.8-27b,Mt-Rt-Lt-Gv,re2_tt,90,478,54,0.89849624
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,aegislab,96,481,80,0.8573975
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,aiops2022,100,339,22,0.93905817
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,aiops2025,93,359,28,0.92764858
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,re2_ob,90,492,48,0.91111111
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gt,re2_tt,90,485,47,0.91165414
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,aegislab,96,478,83,0.85204991
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,aiops2022,100,326,35,0.90304709
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,aiops2025,93,350,37,0.90439276
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,re2_ob,90,479,61,0.88703704
typed_two_stage,qwen3.8-27b,Mt-Rt-Lv-Gv,re2_tt,90,475,57,0.89285714
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,aegislab,96,460,101,0.81996435
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,aiops2022,100,330,31,0.91412742
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,aiops2025,93,323,64,0.83462532
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,re2_ob,90,461,79,0.8537037
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gt,re2_tt,90,440,92,0.82706767
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,aegislab,96,449,112,0.80035651
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,aiops2022,100,311,50,0.86149584
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,aiops2025,93,318,69,0.82170543
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,re2_ob,90,440,100,0.81481481
typed_two_stage,qwen3.8-27b,Mt-Rv-Lt-Gv,re2_tt,90,431,101,0.81015038
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,aegislab,96,444,117,0.79144385
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,aiops2022,100,324,37,0.89750693
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,aiops2025,93,315,72,0.81395349
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,re2_ob,90,431,109,0.79814815
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gt,re2_tt,90,427,105,0.80263158
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,aegislab,96,438,123,0.78074866
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,aiops2022,100,332,29,0.91966759
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,aiops2025,93,315,72,0.81395349
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,re2_ob,90,423,117,0.78333333
typed_two_stage,qwen3.8-27b,Mt-Rv-Lv-Gv,re2_tt,90,424,108,0.79699248
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,aegislab,96,512,49,0.91265597
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,aiops2022,100,334,27,0.92520776
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,aiops2025,93,368,19,0.95090439
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,re2_ob,90,527,13,0.97592593
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gt,re2_tt,90,495,37,0.93045113
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,aegislab,96,501,60,0.89304813
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,aiops2022,100,331,30,0.91689751
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,aiops2025,93,365,22,0.94315245
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,re2_ob,90,509,31,0.94259259
typed_two_stage,qwen3.8-27b,Mv-Rt-Lt-Gv,re2_tt,90,480,52,0.90225564
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,aegislab,96,484,77,0.8627451
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,aiops2022,100,337,24,0.93351801
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,aiops2025,93,350,37,0.90439276
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,re2_ob,90,475,65,0.87962963
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gt,re2_tt,90,462,70,0.86842105
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,aegislab,96,487,74,0.86809269
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,aiops2022,100,336,25,0.93074792
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,aiops2025,93,349,38,0.90180879
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,re2_ob,90,469,71,0.86851852
typed_two_stage,qwen3.8-27b,Mv-Rt-Lv-Gv,re2_tt,90,462,70,0.86842105
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,aegislab,96,457,104,0.81461676
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,aiops2022,100,325,36,0.90027701
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,aiops2025,93,321,66,0.82945736
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,re2_ob,90,460,80,0.85185185
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gt,re2_tt,90,434,98,0.81578947
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,aegislab,96,452,109,0.8057041
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,aiops2022,100,315,46,0.87257618
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,aiops2025,93,328,59,0.84754522
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,re2_ob,90,449,91,0.83148148
typed_two_stage,qwen3.8-27b,Mv-Rv-Lt-Gv,re2_tt,90,444,88,0.83458647
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,aegislab,96,427,134,0.76114082
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,aiops2022,100,318,43,0.88088643
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,aiops2025,93,319,68,0.82428941
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,re2_ob,90,416,124,0.77037037
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gt,re2_tt,90,415,117,0.78007519
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,aegislab,96,449,112,0.80035651
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,aiops2022,100,320,41,0.88642659
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,aiops2025,93,324,63,0.8372093
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,re2_ob,90,430,110,0.7962963
typed_two_stage,qwen3.8-27b,Mv-Rv-Lv-Gv,re2_tt,90,422,110,0.79323308
typed_two_stage,qwen3.8-27b,P,aegislab,96,473,88,0.84313725
typed_two_stage,qwen3.8-27b,P,aiops2022,100,317,44,0.87811634
typed_two_stage,qwen3.8-27b,P,aiops2025,93,350,37,0.90439276
typed_two_stage,qwen3.8-27b,P,re2_ob,90,508,32,0.94074074
typed_two_stage,qwen3.8-27b,P,re2_tt,90,473,59,0.88909774
typed_two_stage,qwen3.8-27b,V,aegislab,96,447,114,0.79679144
typed_two_stage,qwen3.8-27b,V,aiops2022,100,320,41,0.88642659
typed_two_stage,qwen3.8-27b,V,aiops2025,93,311,76,0.80361757
typed_two_stage,qwen3.8-27b,V,re2_ob,90,439,101,0.81296296
typed_two_stage,qwen3.8-27b,V,re2_tt,90,426,106,0.80075188
visual_counterfactual_rca,gemma-4-26b-a4b,H_factual,aegislab,96,1527,4,0.99738733
visual_counterfactual_rca,gemma-4-26b-a4b,H_factual,aiops2022,47,745,0,1
visual_counterfactual_rca,gemma-4-26b-a4b,H_factual,aiops2025,93,1477,3,0.99797297
visual_counterfactual_rca,gemma-4-26b-a4b,H_factual,re2_ob,90,1435,3,0.99791377
visual_counterfactual_rca,gemma-4-26b-a4b,H_factual,re2_tt,90,1405,26,0.98183089
visual_counterfactual_rca,gemma-4-26b-a4b,H_neutral,aegislab,96,1520,2,0.99868594
visual_counterfactual_rca,gemma-4-26b-a4b,H_neutral,aiops2022,47,735,7,0.99056604
visual_counterfactual_rca,gemma-4-26b-a4b,H_neutral,aiops2025,93,1474,8,0.99460189
visual_counterfactual_rca,gemma-4-26b-a4b,H_neutral,re2_ob,90,1432,3,0.99790941
visual_counterfactual_rca,gemma-4-26b-a4b,H_neutral,re2_tt,90,1412,19,0.98672257
visual_counterfactual_rca,gemma-4-26b-a4b,H_placebo,aegislab,96,1523,5,0.99672775
visual_counterfactual_rca,gemma-4-26b-a4b,H_placebo,aiops2022,47,747,2,0.99732977
visual_counterfactual_rca,gemma-4-26b-a4b,H_placebo,aiops2025,93,1478,2,0.99864865
visual_counterfactual_rca,gemma-4-26b-a4b,H_placebo,re2_ob,90,1434,5,0.99652536
visual_counterfactual_rca,gemma-4-26b-a4b,H_placebo,re2_tt,90,1404,27,0.98113208
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted,aegislab,96,1532,2,0.99869622
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted,aiops2022,47,748,0,1
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted,aiops2025,93,1465,14,0.99053414
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted,re2_ob,90,1427,13,0.99097222
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted,re2_tt,90,1391,43,0.97001395
visual_counterfactual_rca,qwen3.6-27b,H_factual,aegislab,96,1281,20,0.98462721
visual_counterfactual_rca,qwen3.6-27b,H_factual,aiops2022,47,614,9,0.98555377
visual_counterfactual_rca,qwen3.6-27b,H_factual,aiops2025,93,1234,11,0.99116466
visual_counterfactual_rca,qwen3.6-27b,H_factual,re2_ob,90,1140,6,0.9947644
visual_counterfactual_rca,qwen3.6-27b,H_factual,re2_tt,90,1161,10,0.99146029
visual_counterfactual_rca,qwen3.6-27b,H_neutral,aegislab,96,1248,22,0.98267717
visual_counterfactual_rca,qwen3.6-27b,H_neutral,aiops2022,47,592,8,0.98666667
visual_counterfactual_rca,qwen3.6-27b,H_neutral,aiops2025,93,1184,15,0.98748957
visual_counterfactual_rca,qwen3.6-27b,H_neutral,re2_ob,90,1098,10,0.99097473
visual_counterfactual_rca,qwen3.6-27b,H_neutral,re2_tt,90,1177,13,0.98907563
visual_counterfactual_rca,qwen3.6-27b,H_placebo,aegislab,96,1279,24,0.98158097
visual_counterfactual_rca,qwen3.6-27b,H_placebo,aiops2022,47,628,9,0.98587127
visual_counterfactual_rca,qwen3.6-27b,H_placebo,aiops2025,93,1207,19,0.98450245
visual_counterfactual_rca,qwen3.6-27b,H_placebo,re2_ob,90,1096,9,0.9918552
visual_counterfactual_rca,qwen3.6-27b,H_placebo,re2_tt,90,1165,11,0.99064626
visual_counterfactual_rca,qwen3.6-27b,H_targeted,aegislab,96,1259,31,0.97596899
visual_counterfactual_rca,qwen3.6-27b,H_targeted,aiops2022,47,635,8,0.98755832
visual_counterfactual_rca,qwen3.6-27b,H_targeted,aiops2025,93,1235,24,0.98093725
visual_counterfactual_rca,qwen3.6-27b,H_targeted,re2_ob,90,1123,15,0.98681898
visual_counterfactual_rca,qwen3.6-27b,H_targeted,re2_tt,90,1124,23,0.97994769
visual_counterfactual_rca,qwen3.8-27b,H_factual,aegislab,96,1155,10,0.99141631
visual_counterfactual_rca,qwen3.8-27b,H_factual,aiops2022,61,654,6,0.99090909
visual_counterfactual_rca,qwen3.8-27b,H_factual,aiops2025,93,1086,10,0.99087591
visual_counterfactual_rca,qwen3.8-27b,H_factual,re2_ob,90,1046,7,0.99335233
visual_counterfactual_rca,qwen3.8-27b,H_factual,re2_tt,90,1105,9,0.99192101
visual_counterfactual_rca,qwen3.8-27b,H_neutral,aegislab,96,1096,13,0.98827773
visual_counterfactual_rca,qwen3.8-27b,H_neutral,aiops2022,61,691,4,0.9942446
visual_counterfactual_rca,qwen3.8-27b,H_neutral,aiops2025,93,1073,12,0.98894009
visual_counterfactual_rca,qwen3.8-27b,H_neutral,re2_ob,90,1064,1,0.99906103
visual_counterfactual_rca,qwen3.8-27b,H_neutral,re2_tt,90,1046,11,0.98959319
visual_counterfactual_rca,qwen3.8-27b,H_placebo,aegislab,96,1105,10,0.99103139
visual_counterfactual_rca,qwen3.8-27b,H_placebo,aiops2022,61,685,7,0.98988439
visual_counterfactual_rca,qwen3.8-27b,H_placebo,aiops2025,93,1043,10,0.99050332
visual_counterfactual_rca,qwen3.8-27b,H_placebo,re2_ob,90,1025,0,1
visual_counterfactual_rca,qwen3.8-27b,H_placebo,re2_tt,90,1088,11,0.9899909
visual_counterfactual_rca,qwen3.8-27b,H_targeted,aegislab,96,1176,7,0.99408284
visual_counterfactual_rca,qwen3.8-27b,H_targeted,aiops2022,61,682,8,0.9884058
visual_counterfactual_rca,qwen3.8-27b,H_targeted,aiops2025,93,1094,12,0.98915009
visual_counterfactual_rca,qwen3.8-27b,H_targeted,re2_ob,90,1036,5,0.99519693
visual_counterfactual_rca,qwen3.8-27b,H_targeted,re2_tt,90,1062,18,0.98333333
