experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,F,aiops2025,node-4,1,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2025,node-5,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2025,node-6,5,0.2,0.2
direct_rca,gemma-4-26b-a4b,F,aiops2025,node-7,2,0,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2025,node-8,4,0.25,0.3
direct_rca,gemma-4-26b-a4b,F,aiops2025,paymentservice,1,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,productcatalogservice,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2025,recommendationservice,1,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,shippingservice,6,0,0.088888889
direct_rca,gemma-4-26b-a4b,F,aiops2025,tidb-tidb,2,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,tidb-tikv,10,0.3,0.4
direct_rca,gemma-4-26b-a4b,F,re2_ob,checkoutservice,18,0.88888889,0.94444444
direct_rca,gemma-4-26b-a4b,F,re2_ob,currencyservice,18,0.55555556,0.69444444
direct_rca,gemma-4-26b-a4b,F,re2_ob,emailservice,18,0.88888889,0.92592593
direct_rca,gemma-4-26b-a4b,F,re2_ob,productcatalogservice,18,0.5,0.63425926
direct_rca,gemma-4-26b-a4b,F,re2_ob,recommendationservice,18,0.66666667,0.81481481
direct_rca,gemma-4-26b-a4b,F,re2_tt,ts-auth-service,18,0.66666667,0.69444444
direct_rca,gemma-4-26b-a4b,F,re2_tt,ts-order-service,18,0.61111111,0.74074074
direct_rca,gemma-4-26b-a4b,F,re2_tt,ts-route-service,18,0.5,0.625
direct_rca,gemma-4-26b-a4b,F,re2_tt,ts-train-service,18,0.77777778,0.7962963
direct_rca,gemma-4-26b-a4b,F,re2_tt,ts-travel-service,18,0.66666667,0.74074074
direct_rca,gemma-4-26b-a4b,H,aegislab,mysql,6,0.16666667,0.43055556
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-assurance-service,5,0.6,0.7
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-auth-service,4,0.75,0.75
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-basic-service,19,0.21052632,0.21052632
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-config-service,6,0.33333333,0.38888889
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-consign-service,2,0,0
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-contacts-service,2,1,1
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-food-service,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-inside-payment-service,2,0.5,0.66666667
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-order-other-service,4,0.25,0.375
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-order-service,5,0.4,0.46666667
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-preserve-service,5,0.2,0.26666667
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-price-service,2,1,1
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-route-plan-service,6,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-route-service,4,0.25,0.375
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-seat-service,6,0.16666667,0.16666667
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-security-service,1,0,0
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-station-food-service,1,1,1
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-station-service,1,1,1
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-train-service,2,0,0
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-travel-plan-service,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-travel-service,3,0,0.066666667
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-travel2-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-user-service,1,1,1
direct_rca,gemma-4-26b-a4b,H,aegislab,ts-verification-code-service,1,0,0.5
direct_rca,gemma-4-26b-a4b,H,aiops2022,adservice,2,0,0.25
direct_rca,gemma-4-26b-a4b,H,aiops2022,adservice-0,1,1,1
direct_rca,gemma-4-26b-a4b,H,aiops2022,adservice-1,3,0.66666667,0.66666667
