experiment,model,comparison,arm_a,arm_b,metric,family,n,delta,p,cohen_dz,improve,degrade,tie,p_holm
typed_vs_cross,gemma-4-26b-a4b,Mv-Rv-Lv-Gt: typed - direct,Mv-Rv-Lv-Gt,Mv-Rv-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.50346021,2.0883838e-44,-1.3840612,3,224,62,3.9679292e-43
typed_vs_cross,gemma-4-26b-a4b,Mv-Rv-Lv-Gv: typed - direct,Mv-Rv-Lv-Gv,Mv-Rv-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.35697809,1.1014656e-33,-0.9451006,10,177,102,1.762345e-32
typed_vs_cross,gemma-4-26b-a4b,P: typed - direct,P,P,complete_chain_accuracy,typed_vs_cross,289,-0.087658593,0.00019046181,-0.22598103,52,98,139,0.00057138544
typed_vs_cross,gemma-4-26b-a4b,V: typed - direct,V,V,complete_chain_accuracy,typed_vs_cross,289,-0.16147636,9.0283744e-11,-0.41147371,39,117,133,5.4170246e-10
typed_vs_cross,qwen3.6-27b,H: typed - direct,H,H,complete_chain_accuracy,typed_vs_cross,289,-0.26009227,7.5261134e-26,-0.72477525,10,138,141,6.0208907e-25
typed_vs_cross,qwen3.6-27b,Mt-Rt-Lt-Gt: typed - direct,Mt-Rt-Lt-Gt,Mt-Rt-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.28604383,6.4779424e-32,-0.86539861,5,159,125,9.7169136e-31
typed_vs_cross,qwen3.6-27b,Mt-Rt-Lt-Gv: typed - direct,Mt-Rt-Lt-Gv,Mt-Rt-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.23760092,1.8119207e-22,-0.65732777,16,134,139,9.3770566e-22
typed_vs_cross,qwen3.6-27b,Mt-Rt-Lv-Gt: typed - direct,Mt-Rt-Lv-Gt,Mt-Rt-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.2710496,7.0793148e-30,-0.80493175,4,143,142,9.2031092e-29
typed_vs_cross,qwen3.6-27b,Mt-Rt-Lv-Gv: typed - direct,Mt-Rt-Lv-Gv,Mt-Rt-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.25432526,1.5628428e-22,-0.66818084,23,145,121,9.3770566e-22
typed_vs_cross,qwen3.6-27b,Mt-Rv-Lt-Gt: typed - direct,Mt-Rv-Lt-Gt,Mt-Rv-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.39215686,4.9560033e-38,-1.0835711,7,196,86,9.4164062e-37
typed_vs_cross,qwen3.6-27b,Mt-Rv-Lt-Gv: typed - direct,Mt-Rv-Lt-Gv,Mt-Rv-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.38581315,2.0223528e-35,-0.99643888,12,191,86,3.2357645e-34
typed_vs_cross,qwen3.6-27b,Mt-Rv-Lv-Gt: typed - direct,Mt-Rv-Lv-Gt,Mt-Rv-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.38696655,3.3665276e-36,-1.0329483,8,188,93,6.0597496e-35
typed_vs_cross,qwen3.6-27b,Mt-Rv-Lv-Gv: typed - direct,Mt-Rv-Lv-Gv,Mt-Rv-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.34948097,3.1101251e-31,-0.88268545,16,175,98,4.3541751e-30
typed_vs_cross,qwen3.6-27b,Mv-Rt-Lt-Gt: typed - direct,Mv-Rt-Lt-Gt,Mv-Rt-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.25086505,2.4075228e-28,-0.77575485,5,139,145,2.4075228e-27
typed_vs_cross,qwen3.6-27b,Mv-Rt-Lt-Gv: typed - direct,Mv-Rt-Lt-Gv,Mv-Rt-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.21972318,1.5703389e-21,-0.63060884,15,127,147,6.2813555e-21
typed_vs_cross,qwen3.6-27b,Mv-Rt-Lv-Gt: typed - direct,Mv-Rt-Lv-Gt,Mv-Rt-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.21626298,4.879656e-23,-0.66082782,8,118,163,3.4157592e-22
typed_vs_cross,qwen3.6-27b,Mv-Rt-Lv-Gv: typed - direct,Mv-Rt-Lv-Gv,Mv-Rt-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.18973472,7.8676681e-18,-0.5386362,17,115,157,2.3603004e-17
typed_vs_cross,qwen3.6-27b,Mv-Rv-Lt-Gt: typed - direct,Mv-Rv-Lt-Gt,Mv-Rv-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.36735871,1.0090177e-35,-1.0080404,9,191,89,1.7153301e-34
typed_vs_cross,qwen3.6-27b,Mv-Rv-Lt-Gv: typed - direct,Mv-Rv-Lt-Gv,Mv-Rv-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.30507497,6.1097338e-28,-0.779353,16,164,109,5.4987604e-27
typed_vs_cross,qwen3.6-27b,Mv-Rv-Lv-Gt: typed - direct,Mv-Rv-Lv-Gt,Mv-Rv-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,-0.29700115,9.358649e-29,-0.80443991,14,164,111,1.0294514e-27
typed_vs_cross,qwen3.6-27b,Mv-Rv-Lv-Gv: typed - direct,Mv-Rv-Lv-Gv,Mv-Rv-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.20530565,4.9938602e-15,-0.50065841,29,124,136,9.9877204e-15
typed_vs_cross,qwen3.6-27b,P: typed - direct,P,P,complete_chain_accuracy,typed_vs_cross,289,-0.30046136,2.4444346e-29,-0.80074775,10,157,122,2.9333215e-28
typed_vs_cross,qwen3.6-27b,V: typed - direct,V,V,complete_chain_accuracy,typed_vs_cross,289,-0.13956171,6.6022482e-08,-0.3503352,40,100,149,6.6022482e-08
typed_vs_cross,qwen3.8-27b,H: typed - direct,H,H,complete_chain_accuracy,typed_vs_cross,289,0.16032295,3.6390677e-06,0.31366948,121,63,105,6.5503218e-05
typed_vs_cross,qwen3.8-27b,Mt-Rt-Lt-Gt: typed - direct,Mt-Rt-Lt-Gt,Mt-Rt-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,0.0011534025,0.59968758,0.0025989744,72,85,132,1
typed_vs_cross,qwen3.8-27b,Mt-Rt-Lt-Gv: typed - direct,Mt-Rt-Lt-Gv,Mt-Rt-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,0.11130334,0.00038871931,0.22522384,109,66,114,0.0054420704
typed_vs_cross,qwen3.8-27b,Mt-Rt-Lv-Gt: typed - direct,Mt-Rt-Lv-Gt,Mt-Rt-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,0.13033449,4.9870644e-05,0.27664536,109,64,116,0.00079793031
typed_vs_cross,qwen3.8-27b,Mt-Rt-Lv-Gv: typed - direct,Mt-Rt-Lv-Gv,Mt-Rt-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,0.12745098,9.8804068e-06,0.28732644,107,57,125,0.00016796691
typed_vs_cross,qwen3.8-27b,Mt-Rv-Lt-Gt: typed - direct,Mt-Rv-Lt-Gt,Mt-Rv-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,0.0455594,0.14815214,0.099737067,91,76,122,0.88891286
typed_vs_cross,qwen3.8-27b,Mt-Rv-Lt-Gv: typed - direct,Mt-Rv-Lt-Gv,Mt-Rv-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,0.0098039216,0.80493659,0.020479724,89,86,114,1
typed_vs_cross,qwen3.8-27b,Mt-Rv-Lv-Gt: typed - direct,Mt-Rv-Lv-Gt,Mt-Rv-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,0.047289504,0.16309285,0.10349277,85,69,135,0.88891286
typed_vs_cross,qwen3.8-27b,Mt-Rv-Lv-Gv: typed - direct,Mt-Rv-Lv-Gv,Mt-Rv-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,0.088811995,0.0049902493,0.18694634,95,65,129,0.054892742
typed_vs_cross,qwen3.8-27b,Mv-Rt-Lt-Gt: typed - direct,Mv-Rt-Lt-Gt,Mv-Rt-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,0.10322953,0.0024531593,0.23102154,89,58,142,0.029437912
typed_vs_cross,qwen3.8-27b,Mv-Rt-Lt-Gv: typed - direct,Mv-Rt-Lt-Gv,Mv-Rt-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,0.054209919,0.079738628,0.12705488,78,60,151,0.6057554
typed_vs_cross,qwen3.8-27b,Mv-Rt-Lv-Gt: typed - direct,Mv-Rt-Lv-Gt,Mv-Rt-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,0.10495963,0.0005586858,0.25819179,86,51,152,0.0072629154
typed_vs_cross,qwen3.8-27b,Mv-Rt-Lv-Gv: typed - direct,Mv-Rt-Lv-Gv,Mv-Rt-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,0.070934256,0.010281378,0.18008298,76,50,163,0.10281378
typed_vs_cross,qwen3.8-27b,Mv-Rv-Lt-Gt: typed - direct,Mv-Rv-Lt-Gt,Mv-Rv-Lt-Gt,complete_chain_accuracy,typed_vs_cross,289,0.028258362,0.53804948,0.065248279,79,75,135,1
typed_vs_cross,qwen3.8-27b,Mv-Rv-Lt-Gv: typed - direct,Mv-Rv-Lt-Gv,Mv-Rv-Lt-Gv,complete_chain_accuracy,typed_vs_cross,289,-0.031141869,0.075719425,-0.07416769,64,87,138,0.6057554
typed_vs_cross,qwen3.8-27b,Mv-Rv-Lv-Gt: typed - direct,Mv-Rv-Lv-Gt,Mv-Rv-Lv-Gt,complete_chain_accuracy,typed_vs_cross,289,0.080738178,0.012878406,0.18919286,84,58,147,0.11590565
typed_vs_cross,qwen3.8-27b,Mv-Rv-Lv-Gv: typed - direct,Mv-Rv-Lv-Gv,Mv-Rv-Lv-Gv,complete_chain_accuracy,typed_vs_cross,289,0.12168397,7.3122275e-05,0.27880658,91,49,149,0.0010968341
typed_vs_cross,qwen3.8-27b,P: typed - direct,P,P,complete_chain_accuracy,typed_vs_cross,289,-0.014417532,0.18144083,-0.036509446,54,72,163,0.88891286
typed_vs_cross,qwen3.8-27b,V: typed - direct,V,V,complete_chain_accuracy,typed_vs_cross,289,0.16147636,1.403708e-09,0.39869433,106,37,146,2.6670451e-08
visual_counterfactual_rca,gemma-4-26b-a4b,H_neutral - H_factual,H_neutral,H_factual,mrr,counterfactual,236,0.0093220339,0.52100415,0.024207109,27,22,187,1
visual_counterfactual_rca,gemma-4-26b-a4b,H_placebo - H_factual,H_placebo,H_factual,mrr,counterfactual,236,0.00098870056,0.68747529,0.0030924254,23,20,193,1
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted - H_factual,H_targeted,H_factual,mrr,counterfactual,236,-0.016101695,0.55458798,-0.048034066,25,29,182,1
visual_counterfactual_rca,gemma-4-26b-a4b,H_targeted - H_placebo,H_targeted,H_placebo,mrr,counterfactual,236,-0.017090395,0.5458215,-0.053807907,22,26,188,1
visual_counterfactual_rca,qwen3.6-27b,H_neutral - H_factual,H_neutral,H_factual,mrr,counterfactual,236,0.016101695,0.68630435,0.054243211,44,41,151,0.85097762
visual_counterfactual_rca,qwen3.6-27b,H_placebo - H_factual,H_placebo,H_factual,mrr,counterfactual,236,-0.009039548,0.36456057,-0.0423442,28,35,173,0.85097762
visual_counterfactual_rca,qwen3.6-27b,H_targeted - H_factual,H_targeted,H_factual,mrr,counterfactual,236,0.00014124294,0.23996184,0.00054974809,46,34,156,0.85097762
visual_counterfactual_rca,qwen3.6-27b,H_targeted - H_placebo,H_targeted,H_placebo,mrr,counterfactual,236,0.009180791,0.2127444,0.034188309,48,36,152,0.85097762
visual_counterfactual_rca,qwen3.8-27b,H_neutral - H_factual,H_neutral,H_factual,mrr,counterfactual,250,-0.0069333333,0.44725299,-0.025420629,36,43,171,0.75267901
visual_counterfactual_rca,qwen3.8-27b,H_placebo - H_factual,H_placebo,H_factual,mrr,counterfactual,250,-0.0055333333,0.34588987,-0.025398088,21,28,201,0.75267901
visual_counterfactual_rca,qwen3.8-27b,H_targeted - H_factual,H_targeted,H_factual,mrr,counterfactual,250,-0.026266667,0.13326826,-0.10737,23,34,193,0.53307303
visual_counterfactual_rca,qwen3.8-27b,H_targeted - H_placebo,H_targeted,H_placebo,mrr,counterfactual,250,-0.020733333,0.250893,-0.074514357,26,35,189,0.75267901
