experiment,model,arm,dataset,n,overall,level1,level2,level3,query_id_valid,step_accuracy
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,re2_tt,90,0.51666667,0.57777778,0.41573034,0.54545455,1,0.70740741
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aegislab,96,0.515625,0.95833333,0.26315789,0.27631579,1,0.53993056
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2022,100,0.69666667,0.97,0.47916667,0.16666667,1,0.68166667
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2025,93,0.8172043,0.96774194,0.85897436,0.22727273,1,0.84050179
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_ob,90,0.52222222,0.92222222,0.43333333,0.21111111,1,0.56851852
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,re2_tt,90,0.5537037,0.91111111,0.46067416,0.27272727,1,0.60740741
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aegislab,96,0.47222222,0.82291667,0.26315789,0.27631579,1,0.546875
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2022,100,0.66,0.86,0.5,0.16666667,1,0.67333333
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2025,93,0.76523297,0.84946237,0.84615385,0.27272727,1,0.79032258
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_ob,90,0.52592593,0.92222222,0.44444444,0.21111111,1,0.58888889
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,re2_tt,90,0.49814815,0.75555556,0.4494382,0.27272727,1,0.58333333
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aegislab,96,0.42708333,0.71875,0.24210526,0.27631579,1,0.50520833
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2022,100,0.76833333,0.86,0.75,0.27777778,1,0.81666667
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2025,93,0.70250896,0.8172043,0.71794872,0.29545455,1,0.76523297
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_ob,90,0.53703704,0.88888889,0.5,0.22222222,1,0.62407407
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,re2_tt,90,0.49074074,0.74444444,0.38202247,0.32954545,1,0.61111111
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aegislab,96,0.39930556,0.625,0.23157895,0.31578947,1,0.49826389
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2022,100,0.71,0.74,0.73958333,0.27777778,1,0.79
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2025,93,0.64874552,0.7311828,0.67948718,0.31818182,1,0.71684588
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_ob,90,0.50740741,0.86666667,0.46666667,0.18888889,1,0.60185185
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,re2_tt,90,0.46111111,0.67777778,0.39325843,0.29545455,1,0.59259259
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aegislab,96,0.56770833,0.98958333,0.26315789,0.42105263,1,0.72743056
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2022,100,0.74166667,0.95,0.55208333,0.55555556,1,0.74166667
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2025,93,0.88351254,0.97849462,0.85897436,0.59090909,1,0.92293907
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_ob,90,0.55925926,0.93333333,0.43333333,0.31111111,1,0.64074074
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,re2_tt,90,0.60555556,0.93333333,0.49438202,0.375,1,0.71481481
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aegislab,96,0.49652778,0.875,0.25263158,0.31578947,1,0.68229167
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2022,100,0.66833333,0.85,0.5,0.44444444,1,0.68833333
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2025,93,0.82258065,0.87096774,0.84615385,0.61363636,1,0.87992832
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_ob,90,0.57777778,0.91111111,0.43333333,0.38888889,1,0.69074074
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,re2_tt,90,0.57592593,0.87777778,0.47191011,0.36363636,1,0.72962963
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aegislab,96,0.46527778,0.73958333,0.26315789,0.36842105,1,0.65625
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2022,100,0.79666667,0.87,0.73958333,0.72222222,1,0.85333333
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2025,93,0.77060932,0.82795699,0.74358974,0.61363636,1,0.84229391
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_ob,90,0.55925926,0.91111111,0.46666667,0.3,1,0.66481481
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,re2_tt,90,0.49074074,0.73333333,0.39325843,0.32954545,1,0.67407407
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aegislab,96,0.35763889,0.48958333,0.25263158,0.32894737,1,0.60243056
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2022,100,0.67166667,0.67,0.65625,0.88888889,1,0.77666667
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2025,93,0.67921147,0.69892473,0.67948718,0.59090909,1,0.79032258
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_ob,90,0.48888889,0.76666667,0.43333333,0.26666667,1,0.65740741
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,re2_tt,90,0.44259259,0.62222222,0.38202247,0.32954545,1,0.67407407
cross_region,gemma-4-26b-a4b,P,aegislab,96,0.36284722,0.8125,0.12631579,0.092105263,1,0.38020833
