87/134 (64.9%) ok=87 base_ac1=0.3563 elapsed_s=873.0
88/134 (65.7%) ok=88 base_ac1=0.3636 elapsed_s=884.6
89/134 (66.4%) ok=89 base_ac1=0.3596 elapsed_s=893.5
90/134 (67.2%) ok=90 base_ac1=0.3667 elapsed_s=902.6
91/134 (67.9%) ok=91 base_ac1=0.3626 elapsed_s=912.1
92/134 (68.7%) ok=92 base_ac1=0.3587 elapsed_s=921.2
93/134 (69.4%) ok=93 base_ac1=0.3656 elapsed_s=931.5
94/134 (70.1%) ok=94 base_ac1=0.3723 elapsed_s=940.8
95/134 (70.9%) ok=95 base_ac1=0.3684 elapsed_s=951.0
96/134 (71.6%) ok=96 base_ac1=0.3646 elapsed_s=960.6
97/134 (72.4%) ok=97 base_ac1=0.3608 elapsed_s=969.2
98/134 (73.1%) ok=98 base_ac1=0.3571 elapsed_s=979.1
99/134 (73.9%) ok=99 base_ac1=0.3535 elapsed_s=989.6
100/134 (74.6%) ok=100 base_ac1=0.3500 elapsed_s=999.2
101/134 (75.4%) ok=101 base_ac1=0.3465 elapsed_s=1010.5
102/134 (76.1%) ok=102 base_ac1=0.3431 elapsed_s=1019.5
103/134 (76.9%) ok=103 base_ac1=0.3495 elapsed_s=1028.7
104/134 (77.6%) ok=104 base_ac1=0.3462 elapsed_s=1037.0
105/134 (78.4%) ok=105 base_ac1=0.3524 elapsed_s=1045.8
106/134 (79.1%) ok=106 base_ac1=0.3491 elapsed_s=1053.9
107/134 (79.9%) ok=107 base_ac1=0.3551 elapsed_s=1063.7
108/134 (80.6%) ok=108 base_ac1=0.3519 elapsed_s=1073.6
109/134 (81.3%) ok=109 base_ac1=0.3486 elapsed_s=1081.8
110/134 (82.1%) ok=110 base_ac1=0.3455 elapsed_s=1094.5
111/134 (82.8%) ok=111 base_ac1=0.3423 elapsed_s=1102.9
112/134 (83.6%) ok=112 base_ac1=0.3393 elapsed_s=1113.7
113/134 (84.3%) ok=113 base_ac1=0.3363 elapsed_s=1123.0
114/134 (85.1%) ok=114 base_ac1=0.3333 elapsed_s=1134.0
115/134 (85.8%) ok=115 base_ac1=0.3304 elapsed_s=1143.9
116/134 (86.6%) ok=116 base_ac1=0.3362 elapsed_s=1154.5
117/134 (87.3%) ok=117 base_ac1=0.3419 elapsed_s=1163.2
118/134 (88.1%) ok=118 base_ac1=0.3475 elapsed_s=1171.6
119/134 (88.8%) ok=119 base_ac1=0.3529 elapsed_s=1182.2
120/134 (89.6%) ok=120 base_ac1=0.3583 elapsed_s=1193.8
121/134 (90.3%) ok=121 base_ac1=0.3554 elapsed_s=1202.0
122/134 (91.0%) ok=122 base_ac1=0.3525 elapsed_s=1211.9
123/134 (91.8%) ok=123 base_ac1=0.3577 elapsed_s=1223.5
124/134 (92.5%) ok=124 base_ac1=0.3629 elapsed_s=1232.5
125/134 (93.3%) ok=125 base_ac1=0.3600 elapsed_s=1242.3
126/134 (94.0%) ok=126 base_ac1=0.3651 elapsed_s=1250.9
127/134 (94.8%) ok=127 base_ac1=0.3622 elapsed_s=1260.7
128/134 (95.5%) ok=128 base_ac1=0.3594 elapsed_s=1273.5
129/134 (96.3%) ok=129 base_ac1=0.3643 elapsed_s=1283.0
130/134 (97.0%) ok=130 base_ac1=0.3692 elapsed_s=1293.4
131/134 (97.8%) ok=131 base_ac1=0.3664 elapsed_s=1303.3
132/134 (98.5%) ok=132 base_ac1=0.3636 elapsed_s=1312.3
133/134 (99.3%) ok=133 base_ac1=0.3684 elapsed_s=1320.8
134/134 (100.0%) ok=134 base_ac1=0.3657 elapsed_s=1332.1
